CODMICRO,x,y
41024,-54.09362394,-25.30001352
41025,-53.62491016,-25.7755464
41026,-53.20712391,-25.95900643
41027,-52.63206121,-25.97395921
41028,-51.97487516,-24.80536616
41029,-51.94965591,-25.44001165
41030,-52.04542743,-26.25053717
41031,-50.79531705,-25.15847203
41032,-50.79194943,-25.67048196
41033,-51.24595504,-26.14967962
41034,-50.33926422,-25.84972499
41035,-49.12623477,-24.78294974
41036,-49.87252972,-25.75047727
41037,-49.26091775,-25.34482609
41038,-48.58950221,-25.46792763
41039,-49.43543371,-25.98859244
42001,-53.50595831,-26.71048677
42002,-52.95585449,-26.81772287
42003,-52.28931099,-26.71195273
42004,-51.25856736,-26.91485417
42005,-52.0839077,-27.18118805
42006,-50.30575667,-26.41070133
42007,-49.43310633,-26.31946799
42008,-48.9322913,-26.33280138
42009,-50.78178268,-27.28609424
42010,-50.21511778,-27.93803012
42011,-49.84157096,-27.08169071
42012,-49.21954658,-26.89922323
42013,-48.73630942,-26.89434162
42014,-49.56756858,-27.4708153
42015,-49.00018165,-27.39234731
42016,-48.69606955,-27.66657765
42017,-49.12542824,-27.7948708
42018,-49.06279021,-28.30960305
42019,-49.42701009,-28.61563814
42020,-49.73169169,-28.98360095
43001,-54.54707637,-27.7684204
43002,-53.95758928,-27.48192857
43003,-53.16687232,-27.4402985
43004,-52.33221163,-27.61045647
43005,-51.67388582,-27.81482064
43006,-54.83683004,-28.09726211
43007,-54.76897836,-28.40952687
43008,-53.75679667,-28.16586024
43009,-53.10737532,-28.00578076
43010,-52.2112808,-28.25453443
43011,-53.42895826,-28.73718531
43012,-52.84022616,-28.54484347
43013,-52.55794616,-28.95746258
43014,-51.86742454,-28.78069809
43015,-50.73825835,-28.64967139
43016,-51.30980711,-29.08058381
43017,-54.35066805,-29.10633101
43018,-54.21784702,-29.83369975
43019,-53.39051488,-29.72182828
43020,-52.67335667,-29.52209023
43021,-51.99943965,-29.37488501
43022,-52.7492758,-30.10052091
43023,-51.41987139,-29.56364473
43024,-50.81953042,-29.5216055
43025,-51.85658445,-30.09301319
43026,-51.1217287,-30.04018689
43027,-50.44057669,-30.17730331
43028,-51.76149116,-30.70851
43029,-56.0358483,-29.54944807
43030,-55.01956507,-30.48846648
43031,-54.28297913,-31.14851087
43032,-53.19592225,-31.08135808
43033,-52.45837127,-31.39578794
43034,-53.18793416,-32.21424475
43035,-52.68036638,-32.73223625
50001,-56.86612762,-19.27392171
50002,-55.95498229,-20.00185667
50003,-54.36215336,-18.5795436
50004,-54.61694688,-20.45856926
50005,-52.77043872,-18.87184949
50006,-51.65743925,-19.8020345
50007,-52.93189083,-20.53068197
50008,-53.08148588,-22.07242016
50009,-56.45176861,-21.38159934
50010,-54.99203121,-22.17669583
50011,-54.34323057,-23.10977689
51001,-59.55927561,-10.56822109
51002,-57.35778446,-9.458009755
51003,-54.64552796,-10.17260269
51004,-58.76484781,-13.42231887
51005,-57.16878325,-11.78181237
51006,-55.69855427,-13.06879415
51007,-54.60176626,-11.48537356
51008,-53.96924375,-13.55774398
51009,-51.69879667,-11.24238058
51010,-52.69808324,-13.57736257
51011,-51.66450215,-14.54664183
51012,-59.69057053,-15.08385474
51013,-57.87301808,-14.7432256
51014,-58.53518449,-15.5475926
51015,-56.96121372,-14.47694949
51016,-56.02159961,-14.8645741
51017,-55.75206695,-15.91059703
51018,-57.17289296,-16.66043362
51019,-54.56534146,-15.21388202
51020,-53.49336086,-16.02588006
51021,-54.62829547,-16.70382908
51022,-53.48723246,-17.30331436
52001,-50.28727398,-13.95911487
52002,-50.80767601,-15.42421365
52003,-51.8710672,-16.18751554
52004,-48.90573363,-13.94729224
52005,-47.42576511,-13.80956706
52006,-49.49197238,-15.11480607
52007,-49.45553123,-16.04704164
52008,-50.91372938,-16.39231039
52009,-50.19078579,-16.43550869
52010,-49.20499551,-16.77155042
52011,-46.5536601,-14.20277817
52012,-47.94967883,-15.76854269
52013,-51.92212667,-17.65773577
52014,-50.2091328,-17.17611913
52015,-49.35240076,-17.87184782
52016,-48.4441024,-16.95858783
52017,-47.95194263,-17.82487258
52018,-50.94507883,-18.72454624
53001,-47.79685023,-15.78066588
