regcode;regname;ufcode;ufname;microcode;microname;pop;women15_49;propW25_34;child0_4;TFR;depRatio.youth;depRatio.elder;sexRatio;religPent;religCat;religNone;educNone.fem;educNone.mal;educPrim.fem;educPrim.mal;educSecd.fem;educSecd.mal;educTerc.fem;educTerc.mal;meanInc;pbf;qInfant.fem;qInfant.mal;qAdult.fem;qAdult.mal;q0_5.fem;q0_5.mal;e0.mal;e0.fem;e20.mal;e20.fem;e40.mal;e40.fem;e60.mal;e60.fem;brancos10;nulos10;pt10;uteis10;brancos14;nulos14;pt14;uteis14;brancos18;nulos18;pt18;novo18;mdb18;psl18;uteis18
3;Sudeste;31;MG;31044;Formiga;  152171;  41662,000;0,2916327;  8311,2949;1,394461;0,2729670;0,13426439;0,9938809;0,05169140;0,8362682;0,023632205;0,5555054;0,5969815;0,13998541;0,14937282;0,20330420;0,19826791;0,10022960;0,054755021; 739,7384;0,072414460;0,011890896;0,011254277;0,10556882;0,2021279;0,014264359;0,013200225;71,80558;77,05450;53,23110;58,43228;35,42508;39,33486;19,77920;21,87493;  4718;  4736;  39916;  93095;  5311;  5190;  35808;  94075;  4388;  9669;  16695;  7541;  796;  45821;  88831
3;Sudeste;31;MG;31045;Campo Belo;  111762;  29451,000;0,3017215;  6496,6124;1,514000;0,2931825;0,14542762;0,9858209;0,12186172;0,7670182;0,021179377;0,6405597;0,6610691;0,11435443;0,14943281;0,14837961;0,13896055;0,09605609;0,050108031; 705,3863;0,134198950;0,016893169;0,015944624;0,10239127;0,1902762;0,018339351;0,017341303;71,88694;77,16074;53,56158;58,82973;35,68752;39,69892;19,72530;22,19811;  3069;  3786;  31810;  63775;  3797;  3738;  30642;  63898;  3159;  6864;  13879;  2681;  497;  32896;  59388
3;Sudeste;31;MG;31046;Oliveira;  125981;  33432,000;0,2925939;  7325,1748;1,528915;0,3132179;0,14144738;0,9923930;0,04596129;0,8937815;0,009516724;0,6360168;0,6789787;0,11369315;0,12796691;0,16663295;0,15165816;0,08295828;0,040591799; 626,2047;0,132632986;0,011544271;0,019491102;0,11099933;0,2038839;0,013301636;0,022613960;71,14315;77,94820;53,32500;59,33570;35,63816;40,32042;20,01179;23,11851;  3561;  3900;  35910;  75170;  3997;  3960;  31885;  76768;  3735;  7267;  20347;  3785;  680;  32544;  74011
3;Sudeste;31;MG;31047;Passos;  226412;  60422,573;0,2902812; 14324,8643;1,661199;0,3092500;0,12346165;1,0159738;0,08647920;0,7815442;0,027248744;0,5580404;0,5936856;0,14648244;0,15785753;0,18221128;0,18116918;0,11195740;0,066848485; 826,2248;0,094052893;0,013328307;0,012602014;0,09898714;0,2040022;0,015331367;0,014641792;71,41889;77,31106;52,97342;58,78856;35,17777;39,61653;19,51954;22,00596;  4292;  6353;  65713; 130178;  4832;  5187;  58731; 134000;  4688;  9216;  29349;  6766;  920;  65740; 125821
3;Sudeste;31;MG;31048;São Sebastião do Paraíso;  265777;  69806,000;0,2933845; 16258,6180;1,622933;0,3049579;0,13669810;1,0264035;0,08905445;0,7924553;0,030724216;0,6004414;0,6406833;0,12323602;0,13498952;0,16917498;0,15523208;0,10592351;0,068076921; 772,4641;0,100791975;0,012866161;0,016832394;0,09349389;0,1883747;0,014244515;0,018949552;71,47477;77,45226;53,24262;58,75562;35,24330;39,48385;19,18176;21,75400;  6205;  8402;  65732; 149669;  6513;  7741;  65309; 152771;  5658; 11353;  33878; 10610; 1068;  69965; 145322
3;Sudeste;31;MG;31049;Alfenas;  225356;  60463,000;0,2919306; 14604,0331;1,687441;0,3146890;0,13047351;1,0035919;0,07603173;0,8258035;0,020738947;0,5676161;0,6199953;0,13304959;0,14129589;0,18097349;0,15997677;0,11797670;0,078095941; 771,1015;0,103693724;0,012427302;0,015141530;0,11169381;0,2179920;0,014003213;0,017284927;70,89610;77,52882;52,66785;58,92578;35,03001;39,93935;19,74555;22,70447;  4295;  5410;  49294; 130919;  4969;  4752;  51723; 134242;  4648;  7749;  28872;  5167;  926;  72476; 131330
3;Sudeste;31;MG;31050;Varginha;  441060; 120153,000;0,3026641; 28923,3983;1,649318;0,3293665;0,11271778;0,9921319;0,07383932;0,8310945;0,020839009;0,5308688;0,5675833;0,13687024;0,14555898;0,20052582;0,19766777;0,13060538;0,088455076; 815,9485;0,117383413;0,012027685;0,015404430;0,11190518;0,2248813;0,014179645;0,017679948;69,92725;76,73942;51,67994;58,15352;33,99190;39,07378;18,71521;21,78556;  8866; 11375;  88649; 252836; 10476; 10413;  94967; 256743; 11151; 17032;  53407; 12133; 2698; 135845; 250582
3;Sudeste;31;MG;31051;Poços de Caldas;  342055;  93453,417;0,3008357; 20135,7731;1,481204;0,2865265;0,13340718;0,9819509;0,13235734;0,7369238;0,032637578;0,5359133;0,5666992;0,14271353;0,15052485;0,20029579;0,19454156;0,11999291;0,087354114; 923,7861;0,062022749;0,014355390;0,012621209;0,09558430;0,1888798;0,015739403;0,015072499;72,07008;77,55659;53,57012;59,02693;35,36041;39,88006;19,50982;22,17471;  6907;  9083;  66753; 193190;  7597;  9392;  61933; 197269;  6616; 12586;  27331; 10565; 1672; 111306; 190768
3;Sudeste;31;MG;31052;Pouso Alegre;  326425;  88843,968;0,3017421; 20082,3669;1,551349;0,2994437;0,11978878;1,0239896;0,09792550;0,7878612;0,030594434;0,5472694;0,5872872;0,13550099;0,14496177;0,19902116;0,18762226;0,11756406;0,079190771; 816,4832;0,084128224;0,015415359;0,019184099;0,09409018;0,1703600;0,017017671;0,021538345;72,28927;77,57389;54,23896;59,11239;35,78098;39,86154;19,52742;22,17259;  7152;  9019;  73280; 185108;  7678;  8767;  63273; 196162;  7382; 14930;  32650; 12668; 1439; 110076; 194906
3;Sudeste;31;MG;31053;Santa Rita do Sapucaí;  140170;  36666,000;0,2876234;  9332,1246;1,791884;0,3279178;0,12710138;1,0323034;0,07428643;0,8379655;0,016751372;0,5973259;0,6477203;0,11929381;0,12311945;0,17535298;0,16033272;0,10745200;0,068747448; 701,5125;0,111465402;0,012082390;0,022301481;0,09568753;0,1874982;0,014678125;0,025102569;71,40341;77,82917;53,74876;59,20642;35,69714;39,86340;19,73004;22,29454;  2953;  3646;  26648;  83279;  3029;  3171;  25663;  86847;  3304;  5903;  13998;  5819;  754;  45827;  84026
3;Sudeste;31;MG;31054;São Lourenço;  208293;  55246,000;0,2945734; 13038,7662;1,641022;0,3132470;0,14154666;0,9725463;0,09900094;0,7661192;0,027066587;0,5542412;0,5946456;0,13864399;0,14079870;0,19983147;0,18006768;0,10537548;0,083412294; 793,8168;0,130454672;0,013325760;0,012793063;0,10156726;0,2041903;0,015387366;0,015228636;71,04360;77,28089;52,58410;58,79120;34,71682;39,68447;19,00390;22,12728;  4314;  6108;  39819; 123188;  4455;  6074;  39486; 124478;  4383;  9106;  21665;  5076; 1162;  65440; 121023
3;Sudeste;31;MG;31055;Andrelândia;   73870;  19030,000;0,2715712;  4058,9873;1,544629;0,3073534;0,15272476;1,0115459;0,05277580;0,8874365;0,018006898;0,6424034;0,7088997;0,10332612;0,10788014;0,16127261;0,13539632;0,09236631;0,047055309; 599,8181;0,182278262;0,013266054;0,027621030;0,11167422;0,1972155;0,014557031;0,031066525;70,47100;76,83684;53,38517;58,16356;35,77717;39,09187;19,84394;21,81951;  1512;  2911;  20384;  44366;  1554;  2382;  20251;  44961;  1549;  3746;  12845;  1439;  334;  18914;  43255
3;Sudeste;31;MG;31056;Itajubá;  189193;  50674,000;0,2848404; 11744,4763;1,639798;0,3075245;0,13060072;1,0002432;0,07878700;0,8060675;0,022976244;0,5258209;0,5219726;0,13905663;0,14511733;0,21526076;0,22886915;0,11822051;0,103113441; 876,9374;0,129470589;0,017809853;0,021583802;0,11555033;0,1967270;0,021387255;0,024245820;70,88126;76,11387;53,05780;58,08958;35,03382;39,03374;19,24895;21,84460;  3878;  4857;  37099; 114108;  4163;  5069;  32719; 115801;  3468;  7435;  15641;  5789; 1040;  67784; 113888
3;Sudeste;31;MG;31057;Lavras;  149669;  41239,000;0,2972672;  9017,2521;1,512962;0,3004927;0,12526459;0,9682154;0,07948389;0,7967981;0,024785243;0,5067672;0,5175241;0,12509267;0,14329090;0,22239299;0,22961149;0,14543260;0,109231058; 870,0808;0,102037562;0,012805857;0,022024544;0,11114253;0,2033479;0,014743533;0,024501085;70,90500;77,43245;53,11476;58,85929;35,19537;39,80135;19,63309;22,58377;  3773;  4782;  33938;  85514;  4495;  5486;  29648;  86548;  4039;  8973;  16580;  3323;  794;  42653;  83535
3;Sudeste;31;MG;31058;São João Del Rei;  182696;  49902,000;0,2916717; 10553,6441;1,478195;0,2902550;0,12998534;0,9703418;0,04005190;0,8815343;0,022632587;0,5728928;0,5902539;0,12400091;0,13817639;0,19543671;0,19952333;0,10682937;0,071645715; 747,5084;0,120951709;0,017831897;0,015484828;0,12592985;0,2099946;0,020055024;0,018336394;70,36366;75,90628;52,16841;57,78459;34,30580;38,85034;18,69029;21,93098;  5795;  5824;  44036; 109323;  5297;  5957;  40376; 111647;  5248; 11356;  21702;  3420; 1116;  49242; 105577
3;Sudeste;31;MG;31059;Barbacena;  221989;  61975,000;0,2854699; 13379,7755;1,525770;0,2972467;0,12256655;0,9446620;0,04100567;0,8794199;0,019927887;0,5612371;0,5670169;0,10299621;0,13397089;0,21134640;0,21622195;0,12379663;0,082144117; 754,4556;0,147893649;0,020896880;0,022230123;0,11575834;0,2292613;0,022844439;0,023997530;69,10395;76,03396;51,22080;58,05203;33,27382;39,03742;18,14472;21,84118;  6621;  8940;  70702; 128788;  6864; 10363;  71932; 130758;  5532; 14015;  45474;  4484; 1016;  53646; 128987
3;Sudeste;31;MG;31060;Ponte Nova;  187147;  49256,000;0,2904621; 11724,4333;1,667333;0,3263301;0,15446755;0,9631697;0,08377879;0,8342070;0,020376364;0,6537616;0,7073328;0,09199324;0,11062984;0,16665712;0,13686017;0,08513773;0,044607002; 580,9614;0,183819342;0,013508829;0,019287318;0,10271866;0,2252560;0,016013802;0,021411501;70,28990;78,11509;52,30300;59,72432;34,93058;40,73773;19,71709;23,25673;  4039;  7344;  59827; 106787;  3758;  5609;  66181; 110032;  3405;  8815;  49910;  2362;  860;  32054; 105503
3;Sudeste;31;MG;31061;Manhuaçu;  273814;  72778,000;0,3035395; 20699,7199;1,945616;0,3855505;0,11508263;1,0099538;0,11247827;0,6845063;0,057378370;0,6767101;0,7274581;0,10332667;0,11328452;0,14539794;0,12495230;0,07307113;0,033653795; 560,3779;0,207545539;0,017330305;0,021191481;0,10693696;0,2076392;0,019855420;0,022765076;70,74528;76,66211;52,94517;58,51073;35,46307;39,43038;19,76658;22,00100;  5091;  9573;  66534; 146248;  5486;  7504;  88030; 155374;  4401;  9846;  58519;  4058; 1437;  67538; 155445
