UFCODE;MUNICODE;MUNINAME;VotesPT.2rnd;VotesPSL.2rnd;VotesNul.2rnd
MA;2104073;Feira Nova do Maranhão;3083;1216;203
MA;2104081;Fernando Falcão;4812;993;101
MA;2104099;Formosa da Serra Negra;6215;2707;359
MA;2104107;Fortaleza dos Nogueiras;5029;1879;266
MA;2104206;Fortuna;6981;1263;297
MA;2104305;Godofredo Viana;3340;1195;98
MA;2104404;Gonçalves Dias;6930;1619;275
MA;2104503;Governador Archer;4478;911;233
MA;2104552;Governador Edison Lobão;6128;3627;289
MA;2104602;Governador Eugênio Barros;6396;1250;203
MA;2104628;Governador Luiz Rocha;3049;876;139
MA;2104651;Governador Newton Bello;4138;757;144
MA;2104677;Governador Nunes Freire;8543;2633;372
MA;2104701;Graça Aranha;3207;643;96
MA;2104800;Grajaú;22150;9502;775
MA;2104909;Guimarães;5285;686;300
MA;2105005;Humberto de Campos;10553;1958;350
MA;2105104;Icatu;11097;1551;335
MA;2105153;Igarapé do Meio;6680;957;153
MA;2105203;Igarapé Grande;4024;1853;177
MA;2105302;Imperatriz;58054;70936;4912
MA;2105351;Itaipava do Grajaú;5254;1178;136
MA;2105401;Itapecuru Mirim;25857;5407;1133
MA;2105427;Itinga do Maranhão;6602;4905;360
MA;2105450;Jatobá;3852;650;114
MA;2105476;Jenipapo dos Vieiras;6844;1291;312
MA;2105500;João Lisboa;9181;4185;509
MA;2105609;Joselândia;6176;1382;251
MA;2105658;Junco do Maranhão;2997;518;113
MA;2105708;Lago da Pedra;14504;8142;666
MA;2105807;Lago do Junco;4898;1262;95
MA;2105906;Lago Verde;7240;957;223
MA;2105922;Lagoa do Mato;5144;576;203
MA;2105948;Lago dos Rodrigues;4598;1217;116
MA;2105963;Lagoa Grande do Maranhão;5200;1141;166
MA;2105989;Lajeado Novo;2872;1386;113
MA;2106003;Lima Campos;4796;2060;243
MA;2106102;Loreto;4674;1014;205
MA;2106201;Luís Domingues;2407;1116;121
MA;2106300;Magalhães de Almeida;6261;1697;277
MA;2106326;Maracaçumé;7034;2229;303
MA;2106359;Marajá do Sena;3643;654;86
MA;2106375;Maranhãozinho;4380;825;171
MA;2106409;Mata Roma;8737;1652;301
MA;2106508;Matinha;10451;2162;346
MA;2106607;Matões;14552;2144;434
MA;2106631;Matões do Norte;3974;491;171
MA;2106672;Milagres do Maranhão;3340;418;105
MA;2106706;Mirador;8886;1514;405
MA;2106755;Miranda do Norte;8016;2209;344
MA;2106805;Mirinzal;5740;1360;260
MA;2106904;Monção;11864;1875;375
MA;2107001;Montes Altos;3634;1243;207
MA;2107100;Morros;8239;1575;291
MA;2107209;Nina Rodrigues;5104;777;161
MA;2107258;Nova Colinas;2368;723;115
MA;2107308;Nova Iorque;2311;364;78
MA;2107357;Nova Olinda do Maranhão;7010;1341;271
MA;2107407;Olho d'Água das Cunhãs;8004;1606;400
MA;2107456;Olinda Nova do Maranhão;5384;869;233
MA;2107506;Paço do Lumiar;30503;18343;2132
MA;2107605;Palmeirândia;9139;984;244
MA;2107704;Paraibano;8298;1372;405
MA;2107803;Parnarama;14918;1676;542
MA;2107902;Passagem Franca;7677;1672;370
MA;2108009;Pastos Bons;7930;1504;366
MA;2108058;Paulino Neves;7811;1025;299
MA;2108108;Paulo Ramos;8221;2262;321
MA;2108207;Pedreiras;13147;6758;631
MA;2108256;Pedro do Rosário;9700;1146;352
MA;2108306;Penalva;13696;1628;391
MA;2108405;Peri Mirim;5827;744;163
MA;2108454;Peritoró;9674;1457;313
MA;2108504;Pindaré-Mirim;13705;3370;559
MA;2108603;Pinheiro;29419;8749;1071
MA;2108702;Pio XII;11317;2003;419
MA;2108801;Pirapemas;7233;1136;252
MA;2108900;Poção de Pedras;8116;2159;331
MA;2109007;Porto Franco;7740;4369;407
MA;2109056;Porto Rico do Maranhão;2554;745;96
MA;2109106;Presidente Dutra;13964;5581;601
MA;2109205;Presidente Juscelino;5297;752;131
MA;2109239;Presidente Médici;2944;484;99
MA;2109270;Presidente Sarney;8456;1002;221
MA;2109304;Presidente Vargas;5785;597;193
MA;2109403;Primeira Cruz;5131;542;133
MA;2109452;Raposa;9840;3693;550
MA;2109502;Riachão;8274;2330;420
MA;2109551;Ribamar Fiquene;2942;1459;99
MA;2109601;Rosário;16994;4140;779
MA;2109700;Sambaíba;2392;928;101
MA;2109759;Santa Filomena do Maranhão;3287;605;86
MA;2109809;Santa Helena;12055;2667;468
MA;2109908;Santa Inês;28127;12991;1303
MA;2110005;Santa Luzia;26299;5352;836
MA;2110039;Santa Luzia do Paruá;8679;2640;413
MA;2110104;Santa Quitéria do Maranhão;12201;1668;378
MA;2110203;Santa Rita;13813;2720;666
MA;2110237;Santana do Maranhão;4383;694;157
MA;2110278;Santo Amaro do Maranhão;5381;684;152
MA;2110302;Santo Antônio dos Lopes;7425;2324;349
MA;2110401;São Benedito do Rio Preto;9034;1116;247
MA;2110500;São Bento;14591;2907;486
MA;2110609;São Bernardo;11827;2167;516
MA;2110658;São Domingos do Azeitão;3571;639;115
MA;2110708;São Domingos do Maranhão;13118;5483;738
MA;2110807;São Félix de Balsas;2190;370;71
MA;2110856;São Francisco do Brejão;3085;1776;117
MA;2110906;São Francisco do Maranhão;5748;662;233
MA;2111003;São João Batista;10398;1036;283
MA;2111029;São João do Carú;5198;1101;142
MA;2111052;São João do Paraíso;4058;1717;195
MA;2111078;São João do Soter;7948;822;221
MA;2111102;São João dos Patos;10007;2841;572
MA;2111201;São José de Ribamar;49761;26235;3177
MA;2111250;São José dos Basílios;3743;439;87
MA;2111300;São Luís;306690;224108;26522
MA;2111409;São Luís Gonzaga do Maranhão;10954;1359;337
MA;2111508;São Mateus do Maranhão;14805;3483;659
MA;2111532;São Pedro da Água Branca;4047;1857;128
MA;2111573;São Pedro dos Crentes;1191;1611;65
MA;2111607;São Raimundo das Mangabeiras;6857;2985;312
MA;2111631;São Raimundo do Doca Bezerra;2935;517;103
MA;2111672;São Roberto;2758;417;80
MA;2111706;São Vicente Ferrer;8352;1111;368
MA;2111722;Satubinha;3138;741;159
MA;2111748;Senador Alexandre Costa;4216;908;126
MA;2111763;Senador La Rocque;6100;2093;262
MA;2111789;Serrano do Maranhão;4743;322;196
MA;2111805;Sítio Novo;7484;2800;262
MA;2111904;Sucupira do Norte;4801;1024;159
MA;2111953;Sucupira do Riachão;2538;298;97
MA;2112001;Tasso Fragoso;3045;1333;229
MA;2112100;Timbiras;11438;1936;395
MA;2112209;Timon;62087;21797;3398
MA;2112233;Trizidela do Vale;7680;3426;375
MA;2112274;Tufilândia;3436;528;99
MA;2112308;Tuntum;13549;4365;656
MA;2112407;Turiaçu;14412;2348;315
MA;2112456;Turilândia;7558;1252;254
MA;2112506;Tutóia;20863;4055;1181
MA;2112605;Urbano Santos;14355;1835;414
MA;2112704;Vargem Grande;17890;3081;770
MA;2112803;Viana;19698;5289;857
MA;2112852;Vila Nova dos Martírios;3205;1650;146
MA;2112902;Vitória do Mearim;13071;3367;460
MA;2113009;Vitorino Freire;12628;3722;546
MA;2114007;Zé Doca;17495;4658;682
MG;3100104;Abadia dos Dourados;1821;2117;527
MG;3100203;Abaeté;4289;7581;1390
MG;3100302;Abre Campo;3954;3260;852
MG;3100401;Acaiaca;1377;782;307
MG;3100500;Açucena;2410;2103;731
MG;3100609;Água Boa;4205;2190;823
MG;3100708;Água Comprida;526;991;194
MG;3100807;Aguanil;1080;1399;394
MG;3100906;Águas Formosas;5099;3995;1099
MG;3101003;Águas Vermelhas;4014;1592;791
MG;3101102;Aimorés;4715;7712;1211
MG;3101201;Aiuruoca;1393;1701;476
MG;3101300;Alagoa;462;1165;186
MG;3101409;Albertina;352;1419;195
MG;3101508;Além Paraíba;9318;9512;1755
MG;3101607;Alfenas;12837;27671;3871
MG;3101631;Alfredo Vasconcelos;1955;1922;665
MG;3101706;Almenara;12687;5418;2096
MG;3101805;Alpercata;1961;2076;424
MG;3101904;Alpinópolis;4332;6205;1232
MG;3102001;Alterosa;3275;5079;881
MG;3102050;Alto Caparaó;789;2350;217
MG;3102100;Alto Rio Doce;4166;1908;818
MG;3102209;Alvarenga;1473;1422;241
MG;3102308;Alvinópolis;5331;3100;1264
MG;3102407;Alvorada de Minas;1662;573;374
MG;3102506;Amparo do Serra;2161;817;349
MG;3102605;Andradas;4563;15971;2181
MG;3102704;Cachoeira de Pajeú;2698;1403;500
MG;3102803;Andrelândia;2698;3252;913
MG;3102852;Angelândia;1938;1485;542
MG;3102902;Antônio Carlos;3626;2788;933
MG;3103009;Antônio Dias;2578;2765;880
MG;3103108;Antônio Prado de Minas;692;675;108
MG;3103207;Araçaí;684;860;268
MG;3103306;Aracitaba;794;539;209
MG;3103405;Araçuaí;9420;6278;1935
MG;3103504;Araguari;19055;41697;5536
MG;3103603;Arantina;1081;697;242
MG;3103702;Araponga;3228;947;535
MG;3103751;Araporã;1767;2442;423
MG;3103801;Arapuá;573;1434;321
MG;3103900;Araújos;1234;3172;534
MG;3104007;Araxá;18890;33021;6299
MG;3104106;Arceburgo;1486;3245;745
MG;3104205;Arcos;7726;13571;3225
MG;3104304;Areado;2224;5579;974
MG;3104403;Argirita;1154;687;219
MG;3104452;Aricanduva;1907;759;393
MG;3104502;Arinos;4986;2892;845
MG;3104601;Astolfo Dutra;3309;4224;835
MG;3104700;Ataléia;4321;1836;767
MG;3104809;Augusto de Lima;1367;1053;348
MG;3104908;Baependi;3106;7578;1268
MG;3105004;Baldim;1905;2562;510
MG;3105103;Bambuí;6120;6090;1563
MG;3105202;Bandeira;1988;506;328
MG;3105301;Bandeira do Sul;1061;2609;474
MG;3105400;Barão de Cocais;7043;8352;2751
MG;3105509;Barão de Monte Alto;2287;1480;353
MG;3105608;Barbacena;32411;35585;8788
MG;3105707;Barra Longa;2272;1063;500
MG;3105905;Barroso;5530;5575;1966
MG;3106002;Bela Vista de Minas;2997;2374;738
MG;3106101;Belmiro Braga;1368;719;205
MG;3106200;Belo Horizonte;472887;901513;137733
MG;3106309;Belo Oriente;5200;6702;1706
MG;3106408;Belo Vale;2656;2705;646
MG;3106507;Berilo;3534;1118;756
MG;3106606;Bertópolis;1704;796;245
MG;3106655;Berizal;1768;647;281
MG;3106705;Betim;75026;122576;26979
MG;3106804;Bias Fortes;1645;681;193
MG;3106903;Bicas;3512;4066;902
MG;3107000;Biquinhas;746;934;261
MG;3107109;Boa Esperança;7496;12864;2447
MG;3107208;Bocaina de Minas;1345;1600;326
MG;3107307;Bocaiúva;15564;7772;2502
MG;3107406;Bom Despacho;6441;19194;2881
MG;3107505;Bom Jardim de Minas;1948;2010;458
MG;3107604;Bom Jesus da Penha;657;1627;317
MG;3107703;Bom Jesus do Amparo;1708;1401;599
MG;3107802;Bom Jesus do Galho;3754;3778;1113
MG;3107901;Bom Repouso;2568;3621;754
MG;3108008;Bom Sucesso;3899;5548;1624
MG;3108107;Bonfim;2035;2415;650
MG;3108206;Bonfinópolis de Minas;1736;1267;264
MG;3108255;Bonito de Minas;3741;680;485
MG;3108305;Borda da Mata;2440;6615;1173
MG;3108404;Botelhos;4129;4289;1022
MG;3108503;Botumirim;2278;719;340
MG;3108552;Brasilândia de Minas;4341;2976;742
MG;3108602;Brasília de Minas;10990;4982;2012
MG;3108701;Brás Pires;1426;1166;381
MG;3108800;Braúnas;1356;1216;365
MG;3108909;Brasópolis;2508;5836;1037
MG;3109006;Brumadinho;7164;12215;2637
MG;3109105;Bueno Brandão;1535;4440;712
MG;3109204;Buenópolis;2480;1870;602
MG;3109253;Bugre;1020;1616;284
MG;3109303;Buritis;5110;6521;1058
MG;3109402;Buritizeiro;6497;4703;1798
MG;3109451;Cabeceira Grande;1448;1957;338
MG;3109501;Cabo Verde;3221;3367;687
MG;3109600;Cachoeira da Prata;978;1461;242
MG;3109709;Cachoeira de Minas;1654;4859;852
MG;3109808;Cachoeira Dourada;956;515;111
MG;3109907;Caetanópolis;1640;3748;953
MG;3110004;Caeté;8544;13593;3318
MG;3110103;Caiana;1594;1014;301
MG;3110202;Cajuri;1986;976;362
MG;3110301;Caldas;2390;5172;876
MG;3110400;Camacho;1245;908;274
MG;3110509;Camanducaia;3403;7870;1291
MG;3110608;Cambuí;4163;9755;2056
MG;3110707;Cambuquira;2235;4315;954
MG;3110806;Campanário;1195;728;240
MG;3110905;Campanha;1824;6041;960
MG;3111002;Campestre;3168;8136;1417
MG;3111101;Campina Verde;4312;5744;872
MG;3111150;Campo Azul;1763;453;229
MG;3111200;Campo Belo;7805;17661;3744
MG;3111309;Campo do Meio;3342;3074;825
MG;3111408;Campo Florido;1901;2074;351
MG;3111507;Campos Altos;2320;3941;789
MG;3111606;Campos Gerais;4940;8022;1732
MG;3111705;Canaã;2099;862;355
MG;3111804;Canápolis;3176;2475;602
MG;3111903;Cana Verde;1398;1833;478
MG;3112000;Candeias;3013;4576;1205
MG;3112059;Cantagalo;1367;721;372
MG;3112109;Caparaó;1266;1604;326
MG;3112208;Capela Nova;1600;1130;540
MG;3112307;Capelinha;8898;7417;2607
MG;3112406;Capetinga;1395;2176;396
MG;3112505;Capim Branco;1713;3641;877
MG;3112604;Capinópolis;4143;3689;668
MG;3112653;Capitão Andrade;1115;1414;327
MG;3112703;Capitão Enéas;5233;2457;1028
MG;3112802;Capitólio;1675;3139;577
MG;3112901;Caputira;3138;2133;606
MG;3113008;Caraí;5871;1850;1310
MG;3113107;Caranaíba;961;1015;411
MG;3113206;Carandaí;6402;7191;2241
MG;3113305;Carangola;7320;8118;2047
MG;3113404;Caratinga;14556;23811;4898
MG;3113503;Carbonita;2774;1861;605
MG;3113602;Careaçu;1203;2120;368
MG;3113701;Carlos Chagas;5086;3882;1146
MG;3113800;Carmésia;674;597;216
MG;3113909;Carmo da Cachoeira;2953;2921;988
MG;3114006;Carmo da Mata;3137;3355;1064
MG;3114105;Carmo de Minas;2640;4023;895
MG;3114204;Carmo do Cajuru;4794;7762;1743
MG;3114303;Carmo do Paranaíba;3686;10525;1643
MG;3114402;Carmo do Rio Claro;3836;6785;1026
MG;3114501;Carmópolis de Minas;3724;5254;1462
MG;3114550;Carneirinho;2871;2623;408
MG;3114600;Carrancas;1087;1098;292
MG;3114709;Carvalhópolis;830;1443;252
MG;3114808;Carvalhos;1051;1414;432
MG;3114907;Casa Grande;754;980;238
MG;3115003;Cascalho Rico;878;1215;211
MG;3115102;Cássia;3640;5214;1153
MG;3115201;Conceição da Barra de Minas;1098;1249;408
MG;3115300;Cataguases;19908;16256;3906
MG;3115359;Catas Altas;1382;1591;595
MG;3115409;Catas Altas da Noruega;1303;955;336
MG;3115458;Catuji;3374;1242;616
MG;3115474;Catuti;2054;653;325
MG;3115508;Caxambu;4751;6550;1388
MG;3115607;Cedro do Abaeté;237;462;138
MG;3115706;Central de Minas;1595;2151;393
MG;3115805;Centralina;2923;1983;432
MG;3115904;Chácara;1089;923;194
MG;3116001;Chalé;1793;1549;325
MG;3116100;Chapada do Norte;3895;767;640
MG;3116159;Chapada Gaúcha;3729;1501;502
MG;3116209;Chiador;851;1082;223
MG;3116308;Cipotânea;1725;1263;463
MG;3116407;Claraval;865;2487;230
MG;3116506;Claro dos Poções;2453;2124;625
MG;3116605;Cláudio;3546;10366;2258
MG;3116704;Coimbra;2310;1971;693
MG;3116803;Coluna;2463;1331;691
MG;3116902;Comendador Gomes;691;1060;124
MG;3117009;Comercinho;2951;902;470
MG;3117108;Conceição da Aparecida;2378;3161;548
MG;3117207;Conceição das Pedras;766;997;242
MG;3117306;Conceição das Alagoas;6406;6766;1114
MG;3117405;Conceição de Ipanema;1653;973;272
MG;3117504;Conceição do Mato Dentro;6322;3189;1422
MG;3117603;Conceição do Pará;875;2491;414
MG;3117702;Conceição do Rio Verde;3077;3518;910
MG;3117801;Conceição dos Ouros;1550;4635;690
MG;3117836;Cônego Marinho;3152;566;375
MG;3117876;Confins;1425;2985;504
MG;3117900;Congonhal;1668;4653;616
MG;3118007;Congonhas;11565;16554;4893
MG;3118106;Congonhas do Norte;1554;623;513
MG;3118205;Conquista;1469;2212;488
MG;3118304;Conselheiro Lafaiete;30180;35020;9378
MG;3118403;Conselheiro Pena;4111;6420;1124
MG;3118502;Consolação;373;796;129
MG;3118601;Contagem;105418;202384;37211
MG;3118700;Coqueiral;2087;2931;701
MG;3118809;Coração de Jesus;9403;3221;1533
MG;3118908;Cordisburgo;2248;2253;592
MG;3119005;Cordislândia;882;895;234
MG;3119104;Corinto;6044;5534;1512
MG;3119203;Coroaci;2418;2580;835
MG;3119302;Coromandel;5264;10220;1836
MG;3119401;Coronel Fabriciano;18177;35471;5336
MG;3119500;Coronel Murta;3276;1104;494
MG;3119609;Coronel Pacheco;952;963;242
MG;3119708;Coronel Xavier Chaves;1056;892;336
MG;3119807;Córrego Danta;763;1114;188
MG;3119906;Córrego do Bom Jesus;795;1902;301
MG;3119955;Córrego Fundo;1311;1927;825
MG;3120003;Córrego Novo;1313;705;227
MG;3120102;Couto de Magalhães de Minas;1613;567;330
MG;3120151;Crisólita;2182;656;351
MG;3120201;Cristais;2163;3284;811
MG;3120300;Cristália;2217;638;365
MG;3120409;Cristiano Otoni;1232;1638;541
MG;3120508;Cristina;1662;3643;802
MG;3120607;Crucilândia;1240;1983;527
MG;3120706;Cruzeiro da Fortaleza;989;1759;221
MG;3120805;Cruzília;3663;4583;1098
MG;3120839;Cuparaque;726;1853;226
MG;3120870;Curral de Dentro;2113;1457;535
MG;3120904;Curvelo;17396;20575;4849
MG;3121001;Datas;2090;739;470
MG;3121100;Delfim Moreira;1510;3167;539
MG;3121209;Delfinópolis;1406;2406;427
MG;3121258;Delta;2066;1893;483
MG;3121308;Descoberto;1586;1508;392
MG;3121407;Desterro de Entre Rios;1357;2394;675
MG;3121506;Desterro do Melo;1112;1142;351
MG;3121605;Diamantina;13966;8605;2920
MG;3121704;Diogo de Vasconcelos;1788;648;396
MG;3121803;Dionísio;2087;1755;588
MG;3121902;Divinésia;1724;1013;353
MG;3122009;Divino;5695;4025;1110
MG;3122108;Divino das Laranjeiras;1177;1562;307
MG;3122207;Divinolândia de Minas;1761;1622;611
MG;3122306;Divinópolis;41154;77001;13740
MG;3122355;Divisa Alegre;1586;1278;461
MG;3122405;Divisa Nova;1609;1760;345
MG;3122454;Divisópolis;2856;1272;492
MG;3122470;Dom Bosco;1012;1131;169
MG;3122504;Dom Cavati;1092;1932;343
MG;3122603;Dom Joaquim;1448;865;387
MG;3122702;Dom Silvério;1756;1120;503
MG;3122801;Dom Viçoso;693;1302;253
MG;3122900;Dona Eusébia;2038;1900;395
MG;3123007;Dores de Campos;1996;3350;960
MG;3123106;Dores de Guanhães;1890;1059;451
MG;3123205;Dores do Indaiá;2154;4926;818
MG;3123304;Dores do Turvo;1854;1327;349
MG;3123403;Doresópolis;482;582;125
MG;3123502;Douradoquara;681;605;138
MG;3123528;Durandé;2517;1729;441
MG;3123601;Elói Mendes;3689;10394;1545
MG;3123700;Engenheiro Caldas;2065;2747;615
MG;3123809;Engenheiro Navarro;2719;1033;506
MG;3123858;Entre Folhas;1657;1870;389
MG;3123908;Entre Rios de Minas;4108;4017;1303
MG;3124005;Ervália;6593;3854;1560
MG;3124104;Esmeraldas;14139;17287;4263
MG;3124203;Espera Feliz;5949;5453;1394
MG;3124302;Espinosa;9863;5454;1450
MG;3124401;Espírito Santo do Dourado;1141;2044;432
MG;3124500;Estiva;2093;4013;860
MG;3124609;Estrela Dalva;912;660;176
MG;3124708;Estrela do Indaiá;631;1171;242
MG;3124807;Estrela do Sul;2081;1687;477
MG;3124906;Eugenópolis;2782;3076;601
MG;3125002;Ewbank da Câmara;1776;991;262
MG;3125101;Extrema;5878;13952;2396
MG;3125200;Fama;693;1203;181
MG;3125309;Faria Lemos;1207;809;241
MG;3125408;Felício dos Santos;1317;1191;503
MG;3125507;São Gonçalo do Rio Preto;1105;561;255
MG;3125606;Felisburgo;2145;978;408
MG;3125705;Felixlândia;3621;3587;907
MG;3125804;Fernandes Tourinho;614;1077;238
MG;3125903;Ferros;3117;1940;833
MG;3125952;Fervedouro;3215;2200;717
MG;3126000;Florestal;1711;2426;594
MG;3126109;Formiga;10499;25314;5029
MG;3126208;Formoso;2348;1414;337
MG;3126307;Fortaleza de Minas;631;1360;321
MG;3126406;Fortuna de Minas;968;949;205
MG;3126505;Francisco Badaró;2468;1270;504
MG;3126604;Francisco Dumont;1471;989;294
MG;3126703;Francisco Sá;7970;3558;1592
MG;3126752;Franciscópolis;1697;840;384
MG;3126802;Frei Gaspar;2048;797;402
MG;3126901;Frei Inocêncio;2217;2092;476
MG;3126950;Frei Lagonegro;1393;652;350
MG;3127008;Fronteira;3155;3515;645
MG;3127057;Fronteira dos Vales;1891;534;268
MG;3127073;Fruta de Leite;1976;503;344
MG;3127107;Frutal;9794;17194;2476
MG;3127206;Funilândia;1063;1712;396
MG;3127305;Galiléia;1475;1844;276
MG;3127339;Gameleiras;1985;814;309
MG;3127354;Glaucilândia;1624;773;240
MG;3127370;Goiabeira;689;1218;188
MG;3127388;Goianá;1188;1342;281
MG;3127404;Gonçalves;602;1923;353
MG;3127503;Gonzaga;1102;1456;498
MG;3127602;Gouveia;3741;2418;936
MG;3127701;Governador Valadares;38293;94067;12285
MG;3127800;Grão Mogol;4801;1865;998
MG;3127909;Grupiara;435;645;111
MG;3128006;Guanhães;6432;7667;2478
MG;3128105;Guapé;2348;4590;778
MG;3128204;Guaraciaba;3337;1680;890
MG;3128253;Guaraciama;2648;651;367
MG;3128303;Guaranésia;5099;4914;1281
MG;3128402;Guarani;2532;2098;641
MG;3128501;Guarará;1150;1128;300
MG;3128600;Guarda-Mor;1547;2016;332
MG;3128709;Guaxupé;10366;15289;3047
MG;3128808;Guidoval;2251;2114;541
MG;3128907;Guimarânia;1529;2759;552
MG;3129004;Guiricema;2820;2184;692
MG;3129103;Gurinhatã;1522;1578;250
MG;3129202;Heliodora;1522;2008;515
MG;3129301;Iapu;2252;3269;637
MG;3129400;Ibertioga;2326;1003;284
MG;3129509;Ibiá;4572;6110;1196
MG;3129608;Ibiaí;2879;787;413
MG;3129657;Ibiracatu;2585;751;366
MG;3129707;Ibiraci;2109;4003;524
MG;3129806;Ibirité;32827;48160;10834
MG;3129905;Ibitiúra de Minas;443;1836;238
MG;3130002;Ibituruna;684;889;230
MG;3130051;Icaraí de Minas;3828;1259;388
MG;3130101;Igarapé;7712;11868;2697
MG;3130200;Igaratinga;1763;3164;745
MG;3130309;Iguatama;1957;2243;617
MG;3130408;Ijaci;1282;2334;617
MG;3130507;Ilicínea;3138;3472;714
MG;3130556;Imbé de Minas;2119;1506;464
MG;3130606;Inconfidentes;1593;2985;418
MG;3130655;Indaiabira;1899;1564;448
MG;3130705;Indianópolis;1567;1501;333
MG;3130804;Ingaí;837;1033;282
MG;3130903;Inhapim;4753;7653;1392
MG;3131000;Inhaúma;1413;2094;520
MG;3131109;Inimutaba;2083;1747;453
MG;3131158;Ipaba;3825;5175;931
MG;3131208;Ipanema;4023;5267;1054
MG;3131307;Ipatinga;32082;91851;11357
MG;3131406;Ipiaçu;1281;871;186
MG;3131505;Ipuiúna;1802;3763;538
MG;3131604;Iraí de Minas;1658;2525;424
MG;3131703;Itabira;25229;35136;10224
MG;3131802;Itabirinha de Mantena;2308;3050;655
MG;3131901;Itabirito;10996;16365;4410
MG;3132008;Itacambira;2049;593;270
MG;3132107;Itacarambi;5433;2444;1158
MG;3132206;Itaguara;2642;4142;1355
MG;3132305;Itaipé;3126;1818;835
MG;3132404;Itajubá;11330;39418;4485
MG;3132503;Itamarandiba;8541;6067;2348
MG;3132602;Itamarati de Minas;1322;1150;327
MG;3132701;Itambacuri;6375;3602;1259
MG;3132800;Itambé do Mato Dentro;825;640;269
MG;3132909;Itamogi;2146;3737;750
MG;3133006;Itamonte;2173;5594;990
MG;3133105;Itanhandu;2901;5428;1016
MG;3133204;Itanhomi;3091;3015;824
MG;3133303;Itaobim;5010;4485;1334
MG;3133402;Itapagipe;2697;4319;532
MG;3133501;Itapecerica;5026;6562;1894
MG;3133600;Itapeva;1259;3923;514
MG;3133709;Itatiaiuçu;1805;4599;895
MG;3133758;Itaú de Minas;2663;5488;1103
MG;3133808;Itaúna;10993;37146;6197
MG;3133907;Itaverava;2126;1564;554
MG;3134004;Itinga;4933;1585;769
MG;3134103;Itueta;1090;2216;288
MG;3134202;Ituiutaba;25456;25815;4654
MG;3134301;Itumirim;1488;2333;720
MG;3134400;Iturama;10313;9675;1525
MG;3134509;Itutinga;1074;1338;414
MG;3134608;Jaboticatubas;4092;5306;1399
MG;3134707;Jacinto;3264;1862;648
MG;3134806;Jacuí;919;3020;579
MG;3134905;Jacutinga;2291;10264;1172
MG;3135001;Jaguaraçu;823;1260;218
MG;3135050;Jaíba;9618;5479;1947
MG;3135076;Jampruca;1727;842;355
MG;3135100;Janaúba;17863;14684;4632
MG;3135209;Januária;22111;7287;3611
MG;3135308;Japaraíba;898;1394;398
MG;3135357;Japonvar;3757;916;515
MG;3135407;Jeceaba;1807;1905;636
MG;3135456;Jenipapo de Minas;1948;772;450
MG;3135506;Jequeri;4040;1969;959
MG;3135605;Jequitaí;2440;1148;563
MG;3135704;Jequitibá;1470;2104;551
MG;3135803;Jequitinhonha;7581;2462;1165
MG;3135902;Jesuânia;1102;1634;435
MG;3136009;Joaíma;4454;1488;831
MG;3136108;Joanésia;1245;1455;506
MG;3136207;João Monlevade;15451;23443;5649
MG;3136306;João Pinheiro;10078;12632;2296
MG;3136405;Joaquim Felício;1089;859;273
MG;3136504;Jordânia;2911;1636;521
MG;3136520;José Gonçalves de Minas;1384;632;425
MG;3136553;José Raydan;1485;790;313
MG;3136579;Josenópolis;1302;451;276
MG;3136603;Nova União;1781;1612;477
MG;3136652;Juatuba;5311;8705;2004
MG;3136702;Juiz de Fora;132237;145333;30218
MG;3136801;Juramento;1937;1005;367
MG;3136900;Juruaia;1827;3899;651
MG;3136959;Juvenília;2315;991;307
MG;3137007;Ladainha;3900;1893;1376
MG;3137106;Lagamar;1666;2741;384
MG;3137205;Lagoa da Prata;6642;17088;2798
MG;3137304;Lagoa dos Patos;1324;899;319
MG;3137403;Lagoa Dourada;2764;3872;1258
MG;3137502;Lagoa Formosa;3590;6109;1255
MG;3137536;Lagoa Grande;2492;2307;437
MG;3137601;Lagoa Santa;9088;22301;3400
MG;3137700;Lajinha;4885;5410;1190
MG;3137809;Lambari;3206;7841;1362
MG;3137908;Lamim;1473;753;314
MG;3138005;Laranjal;1823;2135;418
MG;3138104;Lassance;2086;1179;487
MG;3138203;Lavras;17435;31119;7347
MG;3138302;Leandro Ferreira;792;1412;243
MG;3138351;Leme do Prado;1581;776;296
MG;3138401;Leopoldina;14278;12774;2950
MG;3138500;Liberdade;1604;1228;406
MG;3138609;Lima Duarte;6084;3446;1001
MG;3138625;Limeira do Oeste;2345;1831;374
MG;3138658;Lontra;3635;1109;503
MG;3138674;Luisburgo;1608;2070;483
MG;3138682;Luislândia;3156;570;326
MG;3138708;Luminárias;1427;1400;490
MG;3138807;Luz;2786;6385;1053
MG;3138906;Machacalis;2261;1280;369
MG;3139003;Machado;5408;14841;2435
MG;3139102;Madre de Deus de Minas;1516;1322;476
MG;3139201;Malacacheta;5125;3026;1275
MG;3139250;Mamonas;2579;1169;402
MG;3139300;Manga;6273;2986;1258
MG;3139409;Manhuaçu;15267;23678;4605
MG;3139508;Manhumirim;4773;6019;1239
MG;3139607;Mantena;4689;8368;1136
MG;3139706;Maravilhas;1739;2566;563
MG;3139805;Mar de Espanha;2990;3904;884
MG;3139904;Maria da Fé;2367;6279;1077
MG;3140001;Mariana;19882;11883;5208
MG;3140100;Marilac;1419;969;316
MG;3140159;Mário Campos;2747;4822;1077
MG;3140209;Maripá de Minas;956;1132;226
