UFCODE;MUNICODE;MUNINAME;VotesPT.2rnd;VotesPSL.2rnd;VotesNul.2rnd
AM;1300839;Caapiranga;3449;1387;296
AM;1300904;Canutama;3359;1691;312
AM;1301001;Carauari;9617;2370;609
AM;1301100;Careiro;9464;4160;970
AM;1301159;Careiro da Várzea;7239;2795;607
AM;1301209;Coari;21399;9690;2073
AM;1301308;Codajás;5455;3044;408
AM;1301407;Eirunepé;8836;3137;970
AM;1301506;Envira;4870;1405;469
AM;1301605;Fonte Boa;7837;1645;485
AM;1301654;Guajará;2782;2836;414
AM;1301704;Humaitá;10398;7609;972
AM;1301803;Ipixuna;5055;1312;503
AM;1301852;Iranduba;14447;8757;1659
AM;1301902;Itacoatiara;29226;15412;2477
AM;1301951;Itamarati;3497;691;270
AM;1302009;Itapiranga;2843;1831;187
AM;1302108;Japurá;1912;648;125
AM;1302207;Juruá;2829;1185;375
AM;1302306;Jutaí;6049;1373;563
AM;1302405;Lábrea;11291;3633;984
AM;1302504;Manacapuru;27255;17778;2915
AM;1302553;Manaquiri;6076;1744;550
AM;1302603;Manaus;358364;686999;76811
AM;1302702;Manicoré;12543;5016;816
AM;1302801;Maraã;4114;835;266
AM;1302900;Maués;16543;3080;890
AM;1303007;Nhamundá;7447;1280;308
AM;1303106;Nova Olinda do Norte;8303;2016;653
AM;1303205;Novo Airão;4289;3033;499
AM;1303304;Novo Aripuanã;5923;1383;434
AM;1303403;Parintins;38970;8266;1992
AM;1303502;Pauini;4437;1593;403
AM;1303536;Presidente Figueiredo;8669;6337;949
AM;1303569;Rio Preto da Eva;5368;4751;676
AM;1303601;Santa Isabel do Rio Negro;2637;1430;234
AM;1303700;Santo Antônio do Içá;7998;1662;654
AM;1303809;São Gabriel da Cachoeira;13369;3864;678
AM;1303908;São Paulo de Olivença;10907;1535;804
AM;1303957;São Sebastião do Uatumã;2430;1803;273
AM;1304005;Silves;3966;784;220
AM;1304062;Tabatinga;15809;7061;1620
AM;1304104;Tapauá;5288;2457;376
AM;1304203;Tefé;18878;8159;1531
AM;1304237;Tonantins;5410;1013;332
AM;1304260;Uarini;3692;1089;294
AM;1304302;Urucará;5785;1547;318
AM;1304401;Urucurituba;6256;1466;258
AP;1600055;Serra do Navio;1240;1196;131
AP;1600105;Amapá;2610;1423;174
AP;1600154;Pedra Branca do Amaparí;3317;2234;325
AP;1600204;Calçoene;3140;1671;257
