regcode;regname;ufcode;ufname;microcode;microname;pop;share_adolbirths_2010;share_adolbirths_2018;womenHead;women15_49;propW25_34;child0_4;TFR;depRatio.youth;depRatio.elder;sexRatio;religPent;religCat;religNone;educNone.fem;educNone.mal;educPrim.fem;educPrim.mal;educSecd.fem;educSecd.mal;educTerc.fem;educTerc.mal;meanInc;pbf;qInfant.fem;qInfant.mal;qAdult.fem;qAdult.mal;q0_5.fem;q0_5.mal;e0.mal;e0.fem;e20.mal;e20.fem;e40.mal;e40.fem;e60.mal;e60.fem;brancos02;nulos02;pt02;psdb02;uteis02;brancos06;nulos06;pt06;psdb06;uteis06;brancos10;nulos10;pt10;uteis10;brancos14;nulos14;pt14;uteis14;brancos18;nulos18;pt18;novo18;mdb18;psl18;uteis18
1;Norte;12;AC;12003;Sena Madureira;50701,0000000001;0,287373004354136;0,2830793905372895;0,312853342201530;12497,000000000020;0,323117548211571;5988,948496839540;3,16046773948194;0,624734307412752;0,0691927134294912;1,101897593150401;0,1244232380212887;0,625258459846570;0,11306535055469663;0,663644389813400;0,731963354230465;0,0741484200834991;0,0799352866203314;0,2044081539034114;0,1598214692515860;0,0538305842899470;0,02625553265214590;379,674525510601;0,30462237684363402;0,03011897219636400;0,03629923657642000;0,1004927499756387;0,200441435689012;0,03379083855303697;0,04000724749491074;70,8733934445934;76,8837645896206;54,5419349150600;59,9250021882465;37,1756827961176;40,9508231398982;21,5053565187026;23,4033824583784;327;1908;7565;5903;15885;243;1463;7952;8109;18878;279;1248;6232;19984;308;1392;7341;24513;312;1289;6646;40;484;14558;26201
1;Norte;12;AC;12004;Rio Branco;418113,0000000038;0,259777227722772;0,2021150190114069;0,425172810843297;120349,000000001033;0,328610956468271;38677,538183869416;2,09729206982935;0,462323077935458;0,0684945505824749;0,949101096683818;0,2245524570394466;0,443275775084099;0,14913830387733062;0,449968561689472;0,524705536591130;0,1380312989607559;0,1404285070602274;0,2779505936498452;0,2384097151971579;0,1314923556553376;0,09406373181306661;778,295091791486;0,17231890229975702;0,01869633959165370;0,02225605460898590;0,1210930581285113;0,207447531884370;0,02187726423893326;0,02556722766216151;69,8850424532299;76,6211538596113;52,2486132906460;58,7097337618918;34,6173999240928;39,8328830425301;18,7839966575906;22,8178214365230;2036;10064;78782;55830;166029;2668;8614;80669;87693;192742;2374;6750;37089;218656;2101;6447;49365;187274;3458;8963;30415;1727;2731;173964;254636
1;Norte;12;AC;12005;Brasiléia;58661,0000000011;0,287167449139280;0,2817403708987161;0,355968202594913;15261,000000000296;0,314854858790381;5912,230257392984;2,59507877824173;0,528134945139719;0,0839242092105241;1,045352979532046;0,1692216046080500;0,620925681605441;0,09696472976904309;0,623964505418692;0,694856239919859;0,0992163901725992;0,1099449594118426;0,1977833684763248;0,1519363848717212;0,0777155237719465;0,04181752807098007;475,736528070809;0,22472272281460770;0,02204243007252500;0,02582333778889480;0,1033968065731122;0,146844868116370;0,02661086130379766;0,02982845760902268;72,6371387410044;77,2554375908080;55,5447521040264;59,8535230854256;37,3656884461344;40,8037380932177;20,3025659797862;23,3671385556167;386;2194;11424;8418;21960;333;1776;12663;11853;27074;302;1329;8253;28144;336;1590;12387;33179;453;1596;10485;68;364;19461;34795
1;Norte;13;AM;13001;Rio Negro;96482,9999999995;0,260523321956769;0,2724358974358974;0,236260253003208;22652,999999999876;0,299430539001457;12428,163811565548;3,78125319571516;0,653902249901279;0,0687432445277755;1,162681954144519;0,0783664170786757;0,681844088461330;0,08799384583699374;0,682339261821619;0,673018899275955;0,1129949453168707;0,1286523193157845;0,1507270971529945;0,1564230544936291;0,0483093065931219;0,03727405328716549;501,253110309653;0,32166179462494449;0,03587229735512570;0,03721157250910810;0,1112746613123728;0,181601937494485;0,04776774834109532;0,04897504147127945;71,0815571070479;74,9589249062620;55,7740131163674;59,3852178868720;38,4151874031446;40,5570653325722;22,2103715175638;23,2158894963639;491;2375;7885;8496;19969;191;1771;20333;4076;25704;182;1591;20619;27986;254;1558;23780;33474;296;940;23027;105;337;8992;36395
1;Norte;13;AM;13002;Japurá;24854,0000000001;0,338362068965517;0,3381294964028777;0,257895956355411;5735,000000000015;0,315780296425458;3531,392181332949;4,11757082040223;0,770295824670250;0,0436345369677377;1,196601419655060;0,1986700529825317;0,651082326958251;0,07820613672358356;0,733084583805033;0,768779125247701;0,1272631389416900;0,0960056680045948;0,1071357376509197;0,1060915305093589;0,0291937740376612;0,02184610983806402;222,156495847765;0,40327553066667965;0,03563861976810090;0,04882847977224190;0,0845966040854885;0,161372231594805;0,03864343314800140;0,05371376726989600;71,1288255925523;77,0058211465729;55,8058115050093;60,4140116851130;37,7871900750889;41,1561626239356;21,2412838183649;23,2390013633953;63;489;1055;1446;3553;40;539;4156;509;4959;19;477;5349;6283;31;397;6214;7669;42;231;5527;9;83;1384;8226
1;Norte;13;AM;13003;Alto Solimões;224094,0000000032;0,283750238686271;0,2823031585310564;0,256751256932141;53475,000000000742;0,301954184198224;32036,108693540988;4,11001257437848;0,733108061691067;0,0658157967163024;1,082376272787995;0,1813886131648461;0,600626022639004;0,05486872595080546;0,694855423404322;0,678274216359772;0,0942941708788678;0,1149732332202687;0,1653040576667542;0,1698790731743597;0,0441679020707516;0,03358728770499948;305,013441231633;0,43564843617635240;0,02975481577578420;0,04465306334302640;0,1039424089037296;0,170280460273347;0,03703136372350328;0,05272424542194101;71,4106461277716;76,9509903375429;56,2689007343831;60,5895895016387;38,7574793776256;41,8957220670341;22,3219383248456;24,3400805060584;1074;6437;13690;24737;43215;523;6024;44256;11109;59068;421;6356;53679;69329;658;5601;64057;82114;736;3320;70269;252;778;15689;96304
1;Norte;13;AM;13004;Juruá;127845,0000000149;0,327592393254395;0,3489499192245558;0,329247076910614;29797,000000003212;0,304393059703997;17824,540042878736;4,08562068745909;0,769880425036523;0,0619523252066564;1,094204224231551;0,1286861230485507;0,747305146989197;0,05987763545736524;0,734988712416763;0,777512159667386;0,0731824901427358;0,0731697909252397;0,1351988989429392;0,1171016291309230;0,0546077245918995;0,03170555448998830;272,449760335070;0,49581102592178378;0,02663896807578270;0,03536704292171200;0,0920576086560303;0,190387223868948;0,03067088392894470;0,04150269404631722;71,2612028150212;77,2617315955313;55,0737192956055;60,0731428559238;37,9901413346814;41,0382509378914;21,9266353309558;23,2334617579030;889;4460;7665;13021;27159;443;4285;25566;7388;36899;346;3884;30503;39501;372;3348;35503;46410;671;2308;32920;45;578;11559;50987
1;Norte;13;AM;13005;Tefé;87432,0000000004;0,309187279151943;0,3435207823960880;0,324524900931743;20673,000000000106;0,315483964591496;11867,061034268578;3,84069382056543;0,722894624764946;0,0630339943252443;1,080637882349607;0,2490519357943085;0,629483738142087;0,04864498885005035;0,613356794591162;0,678987159530926;0,1120181007807202;0,1054646072416254;0,1837082528387540;0,1651975268971207;0,0883471000697080;0,04660207965383565;485,239253255373;0,39244134697421323;0,02584198225345640;0,02834391534046470;0,1062935272772559;0,181058777100020;0,03132539666053552;0,03206619626585699;73,7515845298792;78,0932696624053;56,8564998659477;61,1871075820745;39,3535377147448;42,3642154417723;23,5030433581577;25,0494844998410;309;2037;9258;6060;21408;188;2461;23423;2533;27190;204;2003;26727;31735;297;1787;27816;37173;375;1171;26749;161;317;10160;41211
1;Norte;13;AM;13006;Coari;152162,9999999962;0,324937027707809;0,3147925435959110;0,331648576186007;37190,999999999120;0,307708854292705;18366,844186119386;3,35239174221068;0,658904101722780;0,0673544004376705;1,126737986147448;0,2176613771219485;0,668441163581865;0,03655112898199839;0,662657014161313;0,705670181070223;0,0967925174035949;0,1037828626708077;0,1857277806104748;0,1533557660078149;0,0530061446384868;0,03647880040532898;378,113949707009;0,36742589296207412;0,02415561173751340;0,02732153527263330;0,0995354396614192;0,176773241491480;0,02768270166453447;0,03055917790251424;72,6424566358170;76,8630580815384;55,4211665297433;59,3550268419680;37,4753463219872;40,2662082103224;21,4381976376352;22,6889746967410;486;3579;14524;12702;36957;327;4114;41422;5788;50641;413;3440;42656;56309;537;3218;43825;63080;556;2254;42262;258;632;19322;70248
1;Norte;13;AM;13007;Manaus;2039536,0000000298;0,227302834433456;0,1985800984770411;0,445351947610965;599865,314020756632;0,333180279942654;188969,613310010522;2,03773488390945;0,437459894020707;0,0595243638869492;0,950806436022275;0,2002122760431144;0,573107362197602;0,06934518620653385;0,358299120492612;0,392237367250141;0,1488889508998171;0,1508381691833693;0,3715060420471570;0,3602395680017175;0,1132750422813029;0,09040855613900316;854,399475118302;0,15254150082266099;0,01638201895626880;0,02010242807536950;0,1115597657247048;0,224857837435373;0,01982388463450938;0,02378858603604147;68,3765731050961;76,5107182797142;50,9701183550246;58,4260649412080;33,9172635307015;39,3749426894678;18,0166085047195;22,0733026547500;9301;29144;386935;172390;756360;15138;38913;708458;111306;916582;17503;41282;598999;1019431;31204;47948;487549;1101340;23092;55162;324792;24034;18002;659115;1212689
