microcode;ufname;microname;brancos02;nulos02;uteis02;pt02;psdb02;brancos06;nulos06;uteis06;pt06;psdb06;brancos10;nulos10;pt10;uteis10;brancos14;nulos14;pt14;uteis14;brancos18;nulos18;pt18;novo18;mdb18;psl18;uteis18
13003;AM;Alto Solimões;1074;6437;43215;13690;24737;523;6024;59068;44256;11109;421;6356;53679;69329;658;5601;64057;82114;736;3320;70269;252;778;15689;96304
13004;AM;Juruá;889;4460;27159;7665;13021;443;4285;36899;25566;7388;346;3884;30503;39501;372;3348;35503;46410;671;2308;32920;45;578;11559;50987
13005;AM;Tefé;309;2037;21408;9258;6060;188;2461;27190;23423;2533;204;2003;26727;31735;297;1787;27816;37173;375;1171;26749;161;317;10160;41211
13006;AM;Coari;486;3579;36957;14524;12702;327;4114;50641;41422;5788;413;3440;42656;56309;537;3218;43825;63080;556;2254;42262;258;632;19322;70248
13007;AM;Manaus;9301;29144;756360;386935;172390;15138;38913;916582;708458;111306;17503;41282;598999;1019431;31204;47948;487549;1101340;23092;55162;324792;24034;18002;659115;1212689
13008;AM;Rio Preto da Eva;257;983;14481;6969;3521;154;996;17987;15068;1819;213;1110;14964;20102;298;1341;15655;23245;349;1168;13042;292;252;10371;27330
13009;AM;Itacoatiara;622;2716;51880;27783;14167;356;2931;60042;50649;6357;468;3219;49761;65188;656;2742;55203;75101;803;2241;50778;564;700;20689;80266
13010;AM;Parintins;1145;5677;72424;34594;25332;659;5109;87093;72928;9886;626;5245;76352;94314;889;3968;78383;102930;929;3080;87277;691;700;16385;114349
13011;AM;Boca do Acre;323;1361;11345;3158;5708;173;1483;14876;9059;4490;180;1469;9947;16273;165;1240;12122;18097;267;930;10400;39;187;7102;20098
13012;AM;Purus;355;1861;15104;5081;6184;167;2236;20013;16700;2153;217;1878;17348;22465;204;1670;19365;25159;245;1124;18830;54;259;7330;29396
13013;AM;Madeira;809;4023;37187;11649;17411;433;3814;50454;38638;8924;520;3508;44224;56258;499;3080;45827;62063;649;2348;41125;384;595;17804;66092
14001;RR;Boa Vista;1330;7792;115955;52962;37562;1628;5033;137750;30132;84211;1951;5142;38663;160396;2189;4666;48052;131464;2089;4841;24687;3924;2603;133555;198435
14002;RR;Nordeste de Roraima;175;1729;13427;5124;4964;136;991;15514;4572;8457;168;1021;7391;19455;192;955;11479;23200;186;777;10956;134;291;10912;27340
14003;RR;Caracaraí;205;1717;15548;6951;5812;197;899;17510;6417;7487;251;961;7754;20619;297;867;10972;22387;225;862;6430;139;269;13714;23983
14004;RR;Sudeste de Roraima;234;2012;15087;6915;6354;232;1101;18248;8312;6735;355;1146;10119;22151;376;1076;12439;24484;333;1049;7333;112;263;16125;27030
15001;PA;Óbidos;1063;5111;57034;30307;24100;699;3105;69895;43059;22244;930;2307;46888;80304;1124;3073;52475;84698;1157;2642;51908;410;2149;27227;93229
15002;PA;Santarém;2648;13128;181452;83245;61747;2054;7385;221224;92999;103558;2638;6707;85552;230336;3831;9024;110134;245792;3823;9946;99092;1517;6818;114178;277447
15003;PA;Almeirim;431;1391;17875;8668;7928;247;1043;23321;13153;8523;331;959;15466;26565;297;1055;19449;26807;238;838;19158;62;544;7003;29764
15004;PA;Portel;465;2926;23418;9132;13974;279;1811;35234;18190;14168;400;2656;22327;41821;358;2362;32573;48044;351;2026;34212;229;1354;9228;53043
15005;PA;Furos de Breves;811;4833;43625;19446;20668;536;3305;63286;34917;23195;683;3813;45332;79981;834;4669;61967;93941;743;3510;59916;188;2498;21845;103614
15006;PA;Arari;1255;5045;47321;15546;24097;641;2491;61124;39843;17238;821;2797;49496;71994;880;3393;60781;81300;953;2976;58663;71;2288;14551;87443
15007;PA;Belém;12309;32815;903295;423860;369309;23074;36164;1025804;488428;426478;25754;36812;438385;1116071;35407;51078;468091;1088884;29573;68256;319644;14906;34161;514151;1231828
15008;PA;Castanhal;2257;7285;98649;36811;53977;2336;4807;121749;63650;46798;2829;5360;58344;143435;3704;6393;82782;166536;3085;9063;63317;1278;4448;63539;173121
15009;PA;Salgado;2587;8843;95739;34242;53561;1884;4875;117104;74840;34229;2186;5052;78801;137280;2507;5505;100124;150028;2578;6798;89735;302;3895;36043;157629
15010;PA;Bragantina;3287;13514;141909;39502;87049;2949;8769;179668;107300;56929;3789;9114;114410;200252;4405;9165;134649;219843;3397;11391;127103;934;4838;59880;235787
15011;PA;Cametá;2634;10400;145609;67697;69565;2003;5962;186287;122768;55397;2055;6461;143060;219769;2414;7276;170557;241422;2877;6481;170966;432;4796;49087;263074
15012;PA;Tomé-Açu;1885;8844;72360;28408;37872;1457;4952;98556;56994;33162;1593;5827;66262;118046;2055;5340;89341;139392;1870;5404;89252;431;3727;39395;155038
15013;PA;Guamá;3729;14446;126536;42007;73867;2434;9620;169307;92872;61620;2684;9784;107639;193345;2683;10229;139859;210967;2409;10184;130153;622;4590;49963;221993
15014;PA;Itaituba;1304;5001;60356;17315;34612;822;2913;75488;28903;38590;1296;3715;38465;81283;1561;3824;47645;87443;1423;3593;34837;234;1937;44189;93472
15015;PA;Altamira;2528;8470;76776;28531;45311;1644;4779;103781;30011;64865;2015;6268;41341;115992;3412;6582;62688;124062;2907;7209;49991;500;4012;70261;144767
15016;PA;Tucuruí;2897;10237;97808;40539;48124;2001;5851;134972;77874;45459;3050;6894;79270;148108;2803;6858;90310;149456;2119;6256;74027;1080;3082;56423;153858
15017;PA;Paragominas;2496;9078;74135;28524;37879;1656;5104;104684;58645;37003;2297;5796;55518;114868;2169;6141;70425;123931;1809;6055;54969;990;3257;55059;128372
15018;PA;São Félix do Xingu;1047;3647;30203;11481;13342;843;1990;43744;20662;18434;1063;2722;27142;53881;1053;2953;28628;59607;846;2431;21268;277;1649;32158;61614
15019;PA;Parauapebas;2457;6203;58664;28147;23395;2150;3263;83898;50427;25285;4753;5167;51376;102475;6041;6800;69988;144231;3304;8389;53483;1501;3210;86319;164198
15020;PA;Marabá;1643;7152;79944;39211;33631;1886;4395;106058;58511;35256;2468;5112;64785;121421;3315;7285;76114;133857;2528;7091;54909;1424;2891;65647;143717
15021;PA;Redenção;2470;8362;67592;25465;34398;1360;3978;81770;37663;34138;1989;4475;42116;90853;1954;4506;42698;93686;1586;4345;32928;694;2751;51634;100618
15022;PA;Conceição do Araguaia;916;4787;31841;12332;16218;826;2658;43722;19860;17995;990;3203;24541;47601;959;2864;24651;51230;804;2973;20446;225;1533;25732;55119
16001;AP;Oiapoque;129;660;8579;4178;2693;192;750;12113;8443;2299;182;874;8962;14573;299;824;9654;16951;244;728;9911;57;157;5264;17995
16002;AP;Amapá;65;673;7550;2759;2880;64;477;10449;7028;1963;88;557;7633;11916;110;446;8831;12904;116;451;7602;91;150;4458;14394
16003;AP;Macapá;1470;9431;193151;97556;42967;1971;8504;241176;124326;69648;2941;10104;119253;274414;4176;10828;153712;319566;4049;9790;94023;7161;4917;145024;335518
16004;AP;Mazagão;353;1788;23993;12014;7183;247;1543;31641;20878;6691;379;1666;23129;35919;457;1368;26819;39917;330;1155;22751;181;387;12189;41850
17001;TO;Bico do Papagaio;2003;15821;71678;28643;39186;1038;8152;95467;65289;19400;1383;9162;59261;100020;1686;8497;63096;100066;1140;9096;59292;316;669;31613;104747
17002;TO;Araguaína;2339;16076;99596;41735;49464;1616;8818;128870;75188;35714;2048;9621;60105;136958;2913;10277;69988;141723;1828;13041;54038;1146;971;70252;145045
17003;TO;Miracema do Tocantins;1792;11709;61339;24173;31445;813;5562;76725;43828;23627;1082;6435;43693;78214;1321;5747;43350;78155;813;7559;36619;509;466;31534;78289
17004;TO;Rio Formoso;1134;7746;48986;19048;24070;769;3696;60579;29351;23087;910;4064;30162;62911;1390;4026;27051;62119;675;5183;21074;559;508;34540;63701
17005;TO;Gurupi;1132;7844;58583;26964;25757;886;4415;70782;38034;24392;1278;4979;37173;72986;1392;5017;34727;73579;1023;6220;26253;786;614;36729;73220
17006;TO;Porto Nacional;1552;10359;115294;59929;37633;1455;5714;143208;86747;37836;2130;7175;71648;162706;4092;10656;71368;180896;2409;14194;57691;3363;1488;103710;193821
17007;TO;Jalapão;562;6898;24488;7398;15010;360;3447;34871;20927;9191;403;3874;23211;36607;501;3628;23475;37287;352;3630;22537;128;160;11871;38797
17008;TO;Dianópolis;1123;12822;42703;17401;22784;666;5747;58426;32787;16244;717;6519;37130;60462;984;5697;35376;59435;675;7001;33708;306;448;17533;59140
21001;MA;Litoral Ocidental Maranhense;4319;14307;60730;23164;24609;2225;7142;89442;76257;8060;2417;7714;73137;89668;2621;6061;75038;93641;2036;4956;76058;79;1412;13645;99161
21002;MA;Aglomeração Urbana de São Luís;10404;33840;464694;253848;74198;11684;19785;572360;396868;99340;15477;28114;361761;608578;23576;30899;332879;636018;18349;31694;282439;8522;9679;245076;691631
21003;MA;Rosário;2320;11722;46711;17997;18516;1054;5819;72799;62161;5329;1717;7180;64103;76825;2057;5534;69534;85426;1449;4667;69792;171;1356;13448;92109
21004;MA;Lençois Maranhenses;4155;12608;44269;19528;22200;1538;7229;71611;56836;9436;1658;7142;64040;77379;1820;5636;67870;85868;1644;5208;69043;160;1717;12469;93031
21005;MA;Baixada Maranhense;8294;40196;167510;71842;59669;5081;21372;241580;200237;23893;5472;24641;196799;250189;5759;18347;213525;269397;4584;13429;214515;410;3888;47061;288188
21006;MA;Itapecuru Mirim;2010;14572;52659;26482;18210;1085;7285;78446;65821;7059;1485;9618;67114;81518;1734;7528;69254;88017;1232;5211;74571;176;1842;14186;97943
21007;MA;Gurupi;2567;14811;54778;17744;32000;1146;8116;82130;61479;13484;1461;9053;67147;89481;1408;6478;77292;100351;1208;5126;78435;137;1558;19882;109277
21008;MA;Pindaré;8555;49896;188271;72081;100389;4830;24614;262082;200576;35630;5834;30081;198273;265081;5287;20887;213508;279414;3938;16181;201413;835;4259;64468;298850
21009;MA;Imperatriz;5214;28559;199088;62667;106539;3950;13947;250656;154823;62381;5016;19665;134060;270427;6873;14826;155457;284988;5026;13724;123744;2017;3676;121433;297814
21010;MA;Médio Mearim;6601;35083;146737;59262;68689;3483;17304;192993;153867;22761;4360;21407;144066;192618;4289;15796;150912;201648;3431;11907;137585;699;3965;48052;211919
21011;MA;Alto Mearim e Grajaú;4143;24960;87586;19216;60652;2665;13515;126571;92298;21104;2812;13485;98559;136417;2762;9792;103190;146926;2179;8311;99712;542;2653;36865;156136
21012;MA;Presidente Dutra;3072;18538;65939;17366;41619;1716;8540;89878;72281;12209;2554;9895;67874;89697;1937;6674;73171;96682;1594;5759;62856;454;1455;20960;96763
21013;MA;Baixo Parnaíba Maranhense;3751;12217;35656;8746;30600;1881;6981;55771;42932;8874;2180;7959;42674;57567;1737;5876;50784;63622;1499;4589;52988;112;1406;8696;69304
21014;MA;Chapadinha;6820;18528;62529;22558;35151;2330;10363;95252;79615;9118;2971;11774;80643;99422;2454;8319;92410;112114;2043;7323;92887;328;1788;18381;121861
21015;MA;Codó;3392;16952;75862;25807;35378;1960;12064;103684;85711;9769;2483;13769;82778;105803;2145;10250;85112;111243;1990;7686;83242;380;2594;23086;120814
21016;MA;Coelho Neto;1643;9526;24401;11171;10048;1025;5217;37964;30451;3824;757;5193;33464;39956;744;3796;33109;41575;633;2777;34143;125;863;5833;44756
