Abrangência;Cargo;Sexo;Qt Candidatos;Eleito;2º Turno;Não Eleito
ÁGUA DOCE DO MARANHÃO;Vereador;Masculino;38;8;0;30
ÁGUA DOCE DO MARANHÃO;Vereador;Feminino;17;1;0;16
ÁGUA DOCE DO NORTE;Vereador;Masculino;39;9;0;30
ÁGUA DOCE DO NORTE;Vereador;Feminino;19;0;0;19
ÁGUA FRIA;Vereador;Masculino;41;11;0;30
ÁGUA FRIA;Vereador;Feminino;18;0;0;18
ÁGUA FRIA DE GOIÁS;Vereador;Masculino;32;9;0;23
ÁGUA FRIA DE GOIÁS;Vereador;Feminino;16;0;0;16
ÁGUA LIMPA;Vereador;Masculino;19;9;0;10
ÁGUA LIMPA;Vereador;Feminino;9;0;0;9
ÁGUA NOVA;Vereador;Masculino;9;6;0;3
ÁGUA NOVA;Vereador;Feminino;6;3;0;3
ÁGUA PRETA;Vereador;Masculino;54;10;0;44
ÁGUA PRETA;Vereador;Feminino;24;1;0;23
ÁGUA SANTA;Vereador;Masculino;14;7;0;7
ÁGUA SANTA;Vereador;Feminino;7;2;0;5
AGUAÍ;Vereador;Masculino;122;13;0;109
AGUAÍ;Vereador;Feminino;67;0;0;67
AGUANIL;Vereador;Masculino;33;9;0;24
AGUANIL;Vereador;Feminino;18;0;0;18
ÁGUAS BELAS;Vereador;Masculino;59;12;0;47
ÁGUAS BELAS;Vereador;Feminino;29;0;0;29
ÁGUAS DA PRATA;Vereador;Masculino;38;7;0;31
ÁGUAS DA PRATA;Vereador;Feminino;20;2;0;18
ÁGUAS DE CHAPECÓ;Vereador;Masculino;20;8;0;12
ÁGUAS DE CHAPECÓ;Vereador;Feminino;10;1;0;9
ÁGUAS DE LINDÓIA;Vereador;Masculino;69;9;0;60
ÁGUAS DE LINDÓIA;Vereador;Feminino;32;2;0;30
ÁGUAS DE SANTA BÁRBARA;Vereador;Masculino;42;8;0;34
ÁGUAS DE SANTA BÁRBARA;Vereador;Feminino;20;1;0;19
ÁGUAS DE SÃO PEDRO;Vereador;Masculino;28;8;0;20
ÁGUAS DE SÃO PEDRO;Vereador;Feminino;16;1;0;15
ÁGUAS FORMOSAS;Vereador;Masculino;54;11;0;43
ÁGUAS FORMOSAS;Vereador;Feminino;26;0;0;26
ÁGUAS FRIAS;Vereador;Masculino;9;7;0;2
ÁGUAS FRIAS;Vereador;Feminino;4;2;0;2
ÁGUAS LINDAS DE GOIÁS;Vereador;Masculino;161;10;0;151
ÁGUAS LINDAS DE GOIÁS;Vereador;Feminino;65;3;0;62
ÁGUAS MORNAS;Vereador;Masculino;20;7;0;13
ÁGUAS MORNAS;Vereador;Feminino;9;2;0;7
ÁGUAS VERMELHAS;Vereador;Masculino;35;8;0;27
ÁGUAS VERMELHAS;Vereador;Feminino;19;1;0;18
AGUDO;Vereador;Masculino;24;9;0;15
AGUDO;Vereador;Feminino;12;0;0;12
AGUDOS;Vereador;Masculino;78;13;0;65
AGUDOS;Vereador;Feminino;33;0;0;33
AGUDOS DO SUL;Vereador;Masculino;47;8;0;39
AGUDOS DO SUL;Vereador;Feminino;25;1;0;24
ÁGUIA BRANCA;Vereador;Masculino;34;8;0;26
ÁGUIA BRANCA;Vereador;Feminino;17;1;0;16
AGUIAR;Vereador;Masculino;12;8;0;4
AGUIAR;Vereador;Feminino;6;1;0;5
AGUIARNÓPOLIS;Vereador;Masculino;20;9;0;11
AGUIARNÓPOLIS;Vereador;Feminino;12;0;0;12
AIMORÉS;Vereador;Masculino;56;9;0;47
AIMORÉS;Vereador;Feminino;26;2;0;24
AIQUARA;Vereador;Masculino;27;9;0;18
AIQUARA;Vereador;Feminino;18;0;0;18
AIUABA;Vereador;Masculino;30;9;0;21
AIUABA;Vereador;Feminino;13;2;0;11
AIURUOCA;Vereador;Masculino;37;9;0;28
AIURUOCA;Vereador;Feminino;17;0;0;17
AJURICABA;Vereador;Masculino;19;6;0;13
AJURICABA;Vereador;Feminino;11;3;0;8
ALAGOA;Vereador;Masculino;18;7;0;11
ALAGOA;Vereador;Feminino;10;2;0;8
ALAGOA GRANDE;Vereador;Masculino;41;11;0;30
ALAGOA GRANDE;Vereador;Feminino;19;0;0;19
ALAGOA NOVA;Vereador;Masculino;37;8;0;29
ALAGOA NOVA;Vereador;Feminino;18;3;0;15
ALAGOINHA;Vereador;Masculino;42;14;0;28
