Abrangência;Cargo;Sexo;Qt Candidatos;Eleito;2º Turno;Não Eleito
BRASILÂNDIA DE MINAS;Vereador;Feminino;23;1;0;22
BRASILÂNDIA DO SUL;Vereador;Masculino;21;8;0;13
BRASILÂNDIA DO SUL;Vereador;Feminino;10;1;0;9
BRASILÂNDIA DO TOCANTINS;Vereador;Masculino;18;7;0;11
BRASILÂNDIA DO TOCANTINS;Vereador;Feminino;9;2;0;7
BRASILÉIA;Vereador;Masculino;86;8;0;78
BRASILÉIA;Vereador;Feminino;45;3;0;42
BRASILEIRA;Vereador;Masculino;21;7;0;14
BRASILEIRA;Vereador;Feminino;11;2;0;9
BRASÍLIA DE MINAS;Vereador;Masculino;67;9;0;58
BRASÍLIA DE MINAS;Vereador;Feminino;26;4;0;22
BRASNORTE;Vereador;Masculino;41;7;0;34
BRASNORTE;Vereador;Feminino;20;2;0;18
BRAÚNA;Vereador;Masculino;33;9;0;24
BRAÚNA;Vereador;Feminino;18;0;0;18
BRAÚNAS;Vereador;Masculino;37;8;0;29
BRAÚNAS;Vereador;Feminino;17;1;0;16
BRAZABRANTES;Vereador;Masculino;31;9;0;22
BRAZABRANTES;Vereador;Feminino;17;0;0;17
BRAZÓPOLIS;Vereador;Masculino;52;9;0;43
BRAZÓPOLIS;Vereador;Feminino;31;0;0;31
BREJÃO;Vereador;Masculino;26;9;0;17
BREJÃO;Vereador;Feminino;14;0;0;14
BREJETUBA;Vereador;Masculino;40;7;0;33
BREJETUBA;Vereador;Feminino;22;2;0;20
BREJINHO;Vereador;Masculino;39;14;0;25
BREJINHO;Vereador;Feminino;20;4;0;16
BREJINHO DE NAZARÉ;Vereador;Masculino;19;6;0;13
BREJINHO DE NAZARÉ;Vereador;Feminino;9;3;0;6
BREJO;Vereador;Masculino;70;6;0;64
BREJO;Vereador;Feminino;43;7;0;36
BREJO ALEGRE;Vereador;Masculino;31;8;0;23
BREJO ALEGRE;Vereador;Feminino;13;1;0;12
BREJO DA MADRE DE DEUS;Vereador;Masculino;30;10;0;20
BREJO DA MADRE DE DEUS;Vereador;Feminino;14;1;0;13
BREJO DE AREIA;Vereador;Masculino;15;7;0;8
BREJO DE AREIA;Vereador;Feminino;8;2;0;6
BREJO DO CRUZ;Vereador;Masculino;24;9;0;15
BREJO DO CRUZ;Vereador;Feminino;12;0;0;12
BREJO DO PIAUÍ;Vereador;Masculino;16;8;0;8
BREJO DO PIAUÍ;Vereador;Feminino;6;1;0;5
BREJO DOS SANTOS;Vereador;Masculino;16;8;0;8
BREJO DOS SANTOS;Vereador;Feminino;7;1;0;6
BREJO GRANDE;Vereador;Masculino;36;9;0;27
BREJO GRANDE;Vereador;Feminino;16;0;0;16
BREJO GRANDE DO ARAGUAIA;Vereador;Masculino;28;8;0;20
BREJO GRANDE DO ARAGUAIA;Vereador;Feminino;12;1;0;11
BREJO SANTO;Vereador;Masculino;24;11;0;13
BREJO SANTO;Vereador;Feminino;11;2;0;9
BREJÕES;Vereador;Masculino;52;8;0;44
BREJÕES;Vereador;Feminino;25;1;0;24
BREJOLÂNDIA;Vereador;Masculino;19;8;0;11
BREJOLÂNDIA;Vereador;Feminino;9;1;0;8
BREU BRANCO;Vereador;Masculino;62;7;0;55
BREU BRANCO;Vereador;Feminino;30;6;0;24
BREVES;Vereador;Masculino;120;13;0;107
BREVES;Vereador;Feminino;57;2;0;55
BRITÂNIA;Vereador;Masculino;38;8;0;30
BRITÂNIA;Vereador;Feminino;16;1;0;15
BROCHIER;Vereador;Masculino;33;9;0;24
BROCHIER;Vereador;Feminino;16;0;0;16
BRODOWSKI;Vereador;Masculino;77;11;0;66
BRODOWSKI;Vereador;Feminino;38;0;0;38
BROTAS;Vereador;Masculino;85;10;0;75
BROTAS;Vereador;Feminino;41;1;0;40
BROTAS DE MACAÚBAS;Vereador;Masculino;24;8;0;16
BROTAS DE MACAÚBAS;Vereador;Feminino;12;1;0;11
BRUMADINHO;Vereador;Masculino;121;11;0;110
BRUMADINHO;Vereador;Feminino;54;2;0;52
BRUMADO;Vereador;Masculino;61;12;0;49
BRUMADO;Vereador;Feminino;28;1;0;27
BRUNÓPOLIS;Vereador;Masculino;23;9;0;14
BRUNÓPOLIS;Vereador;Feminino;11;0;0;11
BRUSQUE;Vereador;Masculino;109;14;0;95
BRUSQUE;Vereador;Feminino;52;1;0;51
BUENO BRANDÃO;Vereador;Masculino;36;6;0;30
BUENO BRANDÃO;Vereador;Feminino;19;3;0;16
BUENÓPOLIS;Vereador;Masculino;56;9;0;47
BUENÓPOLIS;Vereador;Feminino;29;0;0;29
BUENOS AIRES;Vereador;Masculino;45;8;0;37
BUENOS AIRES;Vereador;Feminino;22;1;0;21
BUERAREMA;Vereador;Masculino;73;11;0;62
BUERAREMA;Vereador;Feminino;27;0;0;27
BUGRE;Vereador;Masculino;31;8;0;23
BUGRE;Vereador;Feminino;11;1;0;10
BUÍQUE;Vereador;Masculino;70;13;0;57
BUÍQUE;Vereador;Feminino;29;0;0;29
BUJARI;Vereador;Masculino;40;9;0;31
BUJARI;Vereador;Feminino;23;0;0;23
BUJARU;Vereador;Masculino;69;9;0;60
BUJARU;Vereador;Feminino;35;2;0;33
BURI;Vereador;Masculino;72;10;0;62
BURI;Vereador;Feminino;34;1;0;33
BURITAMA;Vereador;Masculino;49;9;0;40
BURITAMA;Vereador;Feminino;24;2;0;22
BURITI;Vereador;Masculino;61;8;0;53
BURITI;Vereador;Feminino;33;3;0;30
BURITI ALEGRE;Vereador;Masculino;35;9;0;26
BURITI ALEGRE;Vereador;Feminino;16;0;0;16
BURITI BRAVO;Vereador;Masculino;46;8;0;38
BURITI BRAVO;Vereador;Feminino;22;3;0;19
BURITI DE GOIÁS;Vereador;Masculino;25;9;0;16
BURITI DE GOIÁS;Vereador;Feminino;9;0;0;9
BURITI DO TOCANTINS;Vereador;Masculino;21;6;0;15
BURITI DO TOCANTINS;Vereador;Feminino;9;3;0;6
BURITI DOS LOPES;Vereador;Masculino;35;6;0;29
BURITI DOS LOPES;Vereador;Feminino;16;5;0;11
BURITI DOS MONTES;Vereador;Masculino;15;8;0;7
BURITI DOS MONTES;Vereador;Feminino;8;1;0;7
BURITICUPU;Vereador;Masculino;42;12;0;30
BURITICUPU;Vereador;Feminino;18;3;0;15
BURITINÓPOLIS;Vereador;Masculino;32;9;0;23
BURITINÓPOLIS;Vereador;Feminino;15;0;0;15
BURITIRAMA;Vereador;Masculino;26;10;0;16
BURITIRAMA;Vereador;Feminino;12;1;0;11
BURITIRANA;Vereador;Masculino;31;7;0;24
BURITIRANA;Vereador;Feminino;17;2;0;15
BURITIS;Vereador;Masculino;131;18;0;113
BURITIS;Vereador;Feminino;62;2;0;60
BURITIZAL;Vereador;Masculino;35;6;0;29
BURITIZAL;Vereador;Feminino;17;3;0;14
BURITIZEIRO;Vereador;Masculino;104;10;0;94
BURITIZEIRO;Vereador;Feminino;52;1;0;51
BUTIÁ;Vereador;Masculino;60;8;0;52
BUTIÁ;Vereador;Feminino;34;1;0;33
CAAPIRANGA;Vereador;Masculino;57;9;0;48
CAAPIRANGA;Vereador;Feminino;31;0;0;31
CAAPORÃ;Vereador;Masculino;59;9;0;50
CAAPORÃ;Vereador;Feminino;34;2;0;32
CAARAPÓ;Vereador;Masculino;32;10;0;22
CAARAPÓ;Vereador;Feminino;17;1;0;16
CAATIBA;Vereador;Masculino;34;8;0;26
CAATIBA;Vereador;Feminino;16;1;0;15
CABACEIRAS;Vereador;Masculino;22;9;0;13
CABACEIRAS;Vereador;Feminino;11;0;0;11
CABACEIRAS DO PARAGUAÇU;Vereador;Masculino;31;9;0;22
CABACEIRAS DO PARAGUAÇU;Vereador;Feminino;16;2;0;14
CABECEIRA GRANDE;Vereador;Masculino;51;6;0;45
CABECEIRA GRANDE;Vereador;Feminino;28;3;0;25
CABECEIRAS;Vereador;Masculino;29;9;0;20
CABECEIRAS;Vereador;Feminino;13;0;0;13
CABECEIRAS DO PIAUÍ;Vereador;Masculino;32;7;0;25
CABECEIRAS DO PIAUÍ;Vereador;Feminino;15;2;0;13
CABEDELO;Vereador;Masculino;127;13;0;114
CABEDELO;Vereador;Feminino;50;2;0;48
CABIXI;Vereador;Masculino;34;8;0;26
CABIXI;Vereador;Feminino;7;1;0;6
CABO DE SANTO AGOSTINHO;Vereador;Masculino;189;17;0;172
CABO DE SANTO AGOSTINHO;Vereador;Feminino;74;0;0;74
CABO FRIO;Vereador;Masculino;236;17;0;219
CABO FRIO;Vereador;Feminino;107;0;0;107
CABO VERDE;Vereador;Masculino;37;9;0;28
CABO VERDE;Vereador;Feminino;19;0;0;19
CABRÁLIA PAULISTA;Vereador;Masculino;59;8;0;51
CABRÁLIA PAULISTA;Vereador;Feminino;35;1;0;34
CABREÚVA;Vereador;Masculino;112;6;0;106
CABREÚVA;Vereador;Feminino;54;3;0;51
CABROBÓ;Vereador;Masculino;55;11;0;44
CABROBÓ;Vereador;Feminino;24;1;0;23
CAÇADOR;Vereador;Masculino;76;11;0;65
CAÇADOR;Vereador;Feminino;35;2;0;33
CAÇAPAVA;Vereador;Masculino;113;9;0;104
CAÇAPAVA;Vereador;Feminino;50;1;0;49
CAÇAPAVA DO SUL;Vereador;Masculino;37;8;0;29
CAÇAPAVA DO SUL;Vereador;Feminino;21;3;0;18
CACAULÂNDIA;Vereador;Masculino;29;6;0;23
CACAULÂNDIA;Vereador;Feminino;17;3;0;14
CACEQUI;Vereador;Masculino;33;7;0;26
CACEQUI;Vereador;Feminino;17;2;0;15
CÁCERES;Vereador;Masculino;94;10;0;84
CÁCERES;Vereador;Feminino;43;1;0;42
CACHOEIRA;Vereador;Masculino;74;9;0;65
CACHOEIRA;Vereador;Feminino;34;4;0;30
CACHOEIRA ALTA;Vereador;Masculino;34;9;0;25
CACHOEIRA ALTA;Vereador;Feminino;18;0;0;18
CACHOEIRA DA PRATA;Vereador;Masculino;38;8;0;30
CACHOEIRA DA PRATA;Vereador;Feminino;21;1;0;20
CACHOEIRA DE GOIÁS;Vereador;Masculino;21;9;0;12
CACHOEIRA DE GOIÁS;Vereador;Feminino;10;0;0;10
CACHOEIRA DE MINAS;Vereador;Masculino;38;8;0;30
CACHOEIRA DE MINAS;Vereador;Feminino;23;1;0;22
CACHOEIRA DE PAJEÚ;Vereador;Masculino;41;7;0;34
CACHOEIRA DE PAJEÚ;Vereador;Feminino;21;2;0;19
CACHOEIRA DO ARARI;Vereador;Masculino;58;8;0;50
CACHOEIRA DO ARARI;Vereador;Feminino;32;3;0;29
CACHOEIRA DO PIRIÁ;Vereador;Masculino;51;9;0;42
CACHOEIRA DO PIRIÁ;Vereador;Feminino;25;2;0;23
CACHOEIRA DO SUL;Vereador;Masculino;94;14;0;80
CACHOEIRA DO SUL;Vereador;Feminino;35;1;0;34
CACHOEIRA DOS ÍNDIOS;Vereador;Masculino;14;8;0;6
CACHOEIRA DOS ÍNDIOS;Vereador;Feminino;7;1;0;6
CACHOEIRA DOURADA;Vereador;Masculino;60;16;0;44
CACHOEIRA DOURADA;Vereador;Feminino;32;2;0;30
CACHOEIRA GRANDE;Vereador;Masculino;43;7;0;36
CACHOEIRA GRANDE;Vereador;Feminino;23;2;0;21
CACHOEIRA PAULISTA;Vereador;Masculino;114;11;0;103
CACHOEIRA PAULISTA;Vereador;Feminino;49;2;0;47
CACHOEIRAS DE MACACU;Vereador;Masculino;117;12;0;105
CACHOEIRAS DE MACACU;Vereador;Feminino;51;1;0;50
CACHOEIRINHA;Vereador;Masculino;197;31;0;166
CACHOEIRINHA;Vereador;Feminino;95;6;0;89
CACHOEIRO DE ITAPEMIRIM;Vereador;Masculino;216;19;0;197
CACHOEIRO DE ITAPEMIRIM;Vereador;Feminino;96;0;0;96
CACIMBA DE AREIA;Vereador;Masculino;19;8;0;11
CACIMBA DE AREIA;Vereador;Feminino;8;1;0;7
CACIMBA DE DENTRO;Vereador;Masculino;29;9;0;20
CACIMBA DE DENTRO;Vereador;Feminino;14;2;0;12
CACIMBAS;Vereador;Masculino;22;9;0;13
CACIMBAS;Vereador;Feminino;6;0;0;6
CACIMBINHAS;Vereador;Masculino;24;7;0;17
CACIMBINHAS;Vereador;Feminino;9;2;0;7
CACIQUE DOBLE;Vereador;Masculino;18;9;0;9
CACIQUE DOBLE;Vereador;Feminino;8;0;0;8
CACOAL;Vereador;Masculino;58;11;0;47
CACOAL;Vereador;Feminino;27;1;0;26
CACONDE;Vereador;Masculino;70;9;0;61
CACONDE;Vereador;Feminino;35;0;0;35
CAÇU;Vereador;Masculino;30;6;0;24
CAÇU;Vereador;Feminino;14;3;0;11
CACULÉ;Vereador;Masculino;30;10;0;20
CACULÉ;Vereador;Feminino;14;1;0;13
CAEM;Vereador;Masculino;16;6;0;10
CAEM;Vereador;Feminino;10;3;0;7
CAETANÓPOLIS;Vereador;Masculino;52;9;0;43
CAETANÓPOLIS;Vereador;Feminino;26;0;0;26
CAETANOS;Vereador;Masculino;41;8;0;33
CAETANOS;Vereador;Feminino;18;1;0;17
CAETÉ;Vereador;Masculino;137;13;0;124
CAETÉ;Vereador;Feminino;61;0;0;61
CAETÉS;Vereador;Masculino;28;9;0;19
CAETÉS;Vereador;Feminino;4;2;0;2
CAETITÉ;Vereador;Masculino;37;12;0;25
CAETITÉ;Vereador;Feminino;16;1;0;15
CAFARNAUM;Vereador;Masculino;43;9;0;34
CAFARNAUM;Vereador;Feminino;13;2;0;11
CAFEARA;Vereador;Masculino;21;9;0;12
CAFEARA;Vereador;Feminino;1;0;0;1
CAFELÂNDIA;Vereador;Masculino;106;19;0;87
CAFELÂNDIA;Vereador;Feminino;43;1;0;42
CAFEZAL DO SUL;Vereador;Masculino;21;7;0;14
CAFEZAL DO SUL;Vereador;Feminino;10;2;0;8
CAIABU;Vereador;Masculino;57;8;0;49
CAIABU;Vereador;Feminino;32;1;0;31
CAIANA;Vereador;Masculino;24;8;0;16
CAIANA;Vereador;Feminino;14;1;0;13
CAIAPÔNIA;Vereador;Masculino;44;11;0;33
CAIAPÔNIA;Vereador;Feminino;21;0;0;21
CAIBATÉ;Vereador;Masculino;19;7;0;12
CAIBATÉ;Vereador;Feminino;9;2;0;7
CAIBI;Vereador;Masculino;12;8;0;4
CAIBI;Vereador;Feminino;6;1;0;5
CAIÇARA;Vereador;Masculino;32;14;0;18
CAIÇARA;Vereador;Feminino;19;4;0;15
CAIÇARA DO NORTE;Vereador;Masculino;23;6;0;17
CAIÇARA DO NORTE;Vereador;Feminino;9;3;0;6
CAIÇARA DO RIO DO VENTO;Vereador;Masculino;31;7;0;24
CAIÇARA DO RIO DO VENTO;Vereador;Feminino;15;2;0;13
CAICÓ;Vereador;Masculino;99;14;0;85
CAICÓ;Vereador;Feminino;43;1;0;42
CAIEIRAS;Vereador;Masculino;143;7;0;136
CAIEIRAS;Vereador;Feminino;66;3;0;63
CAIRU;Vereador;Masculino;42;11;0;31
CAIRU;Vereador;Feminino;19;0;0;19
CAIUÁ;Vereador;Masculino;45;8;0;37
CAIUÁ;Vereador;Feminino;23;1;0;22
CAJAMAR;Vereador;Masculino;146;13;0;133
CAJAMAR;Vereador;Feminino;65;2;0;63
CAJAPIÓ;Vereador;Masculino;48;9;0;39
CAJAPIÓ;Vereador;Feminino;24;2;0;22
CAJARI;Vereador;Masculino;56;10;0;46
CAJARI;Vereador;Feminino;28;1;0;27
CAJATI;Vereador;Masculino;58;8;0;50
CAJATI;Vereador;Feminino;30;1;0;29
CAJAZEIRAS;Vereador;Masculino;73;14;0;59
CAJAZEIRAS;Vereador;Feminino;34;1;0;33
CAJAZEIRAS DO PIAUÍ;Vereador;Masculino;17;9;0;8
CAJAZEIRAS DO PIAUÍ;Vereador;Feminino;9;0;0;9
CAJAZEIRINHAS;Vereador;Masculino;14;8;0;6
CAJAZEIRINHAS;Vereador;Feminino;7;1;0;6
CAJOBI;Vereador;Masculino;47;8;0;39
CAJOBI;Vereador;Feminino;22;1;0;21
CAJUEIRO;Vereador;Masculino;41;9;0;32
CAJUEIRO;Vereador;Feminino;16;2;0;14
CAJUEIRO DA PRAIA;Vereador;Masculino;26;7;0;19
CAJUEIRO DA PRAIA;Vereador;Feminino;15;2;0;13
CAJURI;Vereador;Masculino;22;5;0;17
CAJURI;Vereador;Feminino;12;4;0;8
CAJURU;Vereador;Masculino;57;9;0;48
CAJURU;Vereador;Feminino;27;0;0;27
CALÇADO;Vereador;Masculino;26;9;0;17
CALÇADO;Vereador;Feminino;13;0;0;13
CALÇOENE;Vereador;Masculino;40;8;0;32
CALÇOENE;Vereador;Feminino;15;1;0;14
CALDAS;Vereador;Masculino;37;6;0;31
CALDAS;Vereador;Feminino;17;3;0;14
CALDAS BRANDÃO;Vereador;Masculino;25;6;0;19
CALDAS BRANDÃO;Vereador;Feminino;14;3;0;11
CALDAS NOVAS;Vereador;Masculino;109;14;0;95
CALDAS NOVAS;Vereador;Feminino;45;1;0;44
CALDAZINHA;Vereador;Masculino;50;9;0;41
CALDAZINHA;Vereador;Feminino;25;0;0;25
CALDEIRÃO GRANDE;Vereador;Masculino;41;7;0;34
CALDEIRÃO GRANDE;Vereador;Feminino;22;2;0;20
CALDEIRÃO GRANDE DO PIAUÍ;Vereador;Masculino;18;6;0;12
CALDEIRÃO GRANDE DO PIAUÍ;Vereador;Feminino;9;3;0;6
CALIFÓRNIA;Vereador;Masculino;53;6;0;47
CALIFÓRNIA;Vereador;Feminino;25;3;0;22
CALMON;Vereador;Masculino;27;7;0;20
CALMON;Vereador;Feminino;14;2;0;12
CALUMBI;Vereador;Masculino;10;5;0;5
CALUMBI;Vereador;Feminino;8;4;0;4
CAMACÃ;Vereador;Masculino;74;10;0;64
CAMACÃ;Vereador;Feminino;31;3;0;28
CAMAÇARI;Vereador;Masculino;208;18;0;190
CAMAÇARI;Vereador;Feminino;93;1;0;92
CAMACHO;Vereador;Masculino;21;7;0;14
CAMACHO;Vereador;Feminino;12;2;0;10
CAMALAÚ;Vereador;Masculino;16;8;0;8
CAMALAÚ;Vereador;Feminino;6;1;0;5
CAMAMU;Vereador;Masculino;67;12;0;55
CAMAMU;Vereador;Feminino;32;1;0;31
CAMANDUCAIA;Vereador;Masculino;78;9;0;69
CAMANDUCAIA;Vereador;Feminino;38;2;0;36
CAMAPUÃ;Vereador;Masculino;47;8;0;39
CAMAPUÃ;Vereador;Feminino;32;1;0;31
CAMAQUÃ;Vereador;Masculino;90;14;0;76
CAMAQUÃ;Vereador;Feminino;42;1;0;41
CAMARAGIBE;Vereador;Masculino;170;13;0;157
CAMARAGIBE;Vereador;Feminino;47;0;0;47
CAMARGO;Vereador;Masculino;17;8;0;9
CAMARGO;Vereador;Feminino;8;1;0;7
CAMBARÁ;Vereador;Masculino;55;9;0;46
CAMBARÁ;Vereador;Feminino;27;0;0;27
CAMBARÁ DO SUL;Vereador;Masculino;35;8;0;27
CAMBARÁ DO SUL;Vereador;Feminino;16;1;0;15
CAMBÉ;Vereador;Masculino;76;9;0;67
CAMBÉ;Vereador;Feminino;34;1;0;33
CAMBIRA;Vereador;Masculino;39;8;0;31
CAMBIRA;Vereador;Feminino;20;1;0;19
CAMBORIÚ;Vereador;Masculino;103;12;0;91
CAMBORIÚ;Vereador;Feminino;47;3;0;44
CAMBUCI;Vereador;Masculino;72;8;0;64
CAMBUCI;Vereador;Feminino;30;1;0;29
CAMBUÍ;Vereador;Masculino;61;7;0;54
CAMBUÍ;Vereador;Feminino;32;2;0;30
CAMBUQUIRA;Vereador;Masculino;50;8;0;42
CAMBUQUIRA;Vereador;Feminino;27;1;0;26
CAMETÁ;Vereador;Masculino;117;15;0;102
CAMETÁ;Vereador;Feminino;46;0;0;46
CAMOCIM;Vereador;Masculino;94;13;0;81
CAMOCIM;Vereador;Feminino;43;2;0;41
CAMOCIM DE SÃO FÉLIX;Vereador;Masculino;30;6;0;24
CAMOCIM DE SÃO FÉLIX;Vereador;Feminino;6;5;0;1
CAMPANÁRIO;Vereador;Masculino;29;9;0;20
CAMPANÁRIO;Vereador;Feminino;14;0;0;14
CAMPANHA;Vereador;Masculino;53;8;0;45
CAMPANHA;Vereador;Feminino;27;3;0;24
CAMPESTRE;Vereador;Masculino;85;16;0;69
CAMPESTRE;Vereador;Feminino;42;4;0;38
CAMPESTRE DA SERRA;Vereador;Masculino;20;7;0;13
CAMPESTRE DA SERRA;Vereador;Feminino;11;2;0;9
CAMPESTRE DE GOIÁS;Vereador;Masculino;35;7;0;28
CAMPESTRE DE GOIÁS;Vereador;Feminino;16;2;0;14
CAMPESTRE DO MARANHÃO;Vereador;Masculino;51;8;0;43
CAMPESTRE DO MARANHÃO;Vereador;Feminino;26;1;0;25
CAMPINA DA LAGOA;Vereador;Masculino;37;8;0;29
CAMPINA DA LAGOA;Vereador;Feminino;19;1;0;18
CAMPINA DAS MISSÕES;Vereador;Masculino;15;9;0;6
CAMPINA DAS MISSÕES;Vereador;Feminino;7;0;0;7
CAMPINA DO MONTE ALEGRE;Vereador;Masculino;39;8;0;31
CAMPINA DO MONTE ALEGRE;Vereador;Feminino;21;1;0;20
CAMPINA DO SIMÃO;Vereador;Masculino;33;9;0;24
CAMPINA DO SIMÃO;Vereador;Feminino;10;0;0;10
CAMPINA GRANDE;Vereador;Masculino;256;23;0;233
CAMPINA GRANDE;Vereador;Feminino;103;0;0;103
CAMPINA GRANDE DO SUL;Vereador;Masculino;83;9;0;74
CAMPINA GRANDE DO SUL;Vereador;Feminino;43;0;0;43
CAMPINA VERDE;Vereador;Masculino;41;9;0;32
CAMPINA VERDE;Vereador;Feminino;21;2;0;19
CAMPINAÇU;Vereador;Masculino;23;8;0;15
CAMPINAÇU;Vereador;Feminino;7;1;0;6
CAMPINÁPOLIS;Vereador;Masculino;33;8;0;25
CAMPINÁPOLIS;Vereador;Feminino;15;1;0;14
CAMPINAS;Vereador;Masculino;486;32;0;454
CAMPINAS;Vereador;Feminino;215;1;0;214
CAMPINAS DO PIAUÍ;Vereador;Masculino;23;9;0;14
CAMPINAS DO PIAUÍ;Vereador;Feminino;12;0;0;12
CAMPINAS DO SUL;Vereador;Masculino;19;8;0;11
CAMPINAS DO SUL;Vereador;Feminino;9;1;0;8
CAMPINORTE;Vereador;Masculino;36;9;0;27
CAMPINORTE;Vereador;Feminino;18;0;0;18
CAMPO ALEGRE;Vereador;Masculino;123;19;0;104
CAMPO ALEGRE;Vereador;Feminino;58;5;0;53
CAMPO ALEGRE DE GOIÁS;Vereador;Masculino;29;8;0;21
CAMPO ALEGRE DE GOIÁS;Vereador;Feminino;13;1;0;12
CAMPO ALEGRE DE LOURDES;Vereador;Masculino;44;8;0;36
CAMPO ALEGRE DE LOURDES;Vereador;Feminino;25;3;0;22
CAMPO ALEGRE DO FIDALGO;Vereador;Masculino;17;6;0;11
CAMPO ALEGRE DO FIDALGO;Vereador;Feminino;9;3;0;6
CAMPO AZUL;Vereador;Masculino;23;9;0;14
CAMPO AZUL;Vereador;Feminino;11;0;0;11
CAMPO BELO;Vereador;Masculino;109;12;0;97
CAMPO BELO;Vereador;Feminino;44;3;0;41
CAMPO BELO DO SUL;Vereador;Masculino;23;8;0;15
CAMPO BELO DO SUL;Vereador;Feminino;12;1;0;11
CAMPO BOM;Vereador;Masculino;74;11;0;63
CAMPO BOM;Vereador;Feminino;35;0;0;35
CAMPO BONITO;Vereador;Masculino;28;9;0;19
CAMPO BONITO;Vereador;Feminino;6;0;0;6
CAMPO DO BRITO;Vereador;Masculino;35;10;0;25
CAMPO DO BRITO;Vereador;Feminino;16;1;0;15
CAMPO DO MEIO;Vereador;Masculino;58;7;0;51
CAMPO DO MEIO;Vereador;Feminino;27;2;0;25
CAMPO DO TENENTE;Vereador;Masculino;45;8;0;37
CAMPO DO TENENTE;Vereador;Feminino;25;1;0;24
CAMPO ERÊ;Vereador;Masculino;23;8;0;15
CAMPO ERÊ;Vereador;Feminino;12;1;0;11
CAMPO FLORIDO;Vereador;Masculino;27;6;0;21
CAMPO FLORIDO;Vereador;Feminino;17;3;0;14
CAMPO FORMOSO;Vereador;Masculino;60;15;0;45
CAMPO FORMOSO;Vereador;Feminino;27;0;0;27
CAMPO GRANDE;Vereador;Masculino;377;37;0;340
CAMPO GRANDE;Vereador;Feminino;176;10;0;166
CAMPO GRANDE DO PIAUÍ;Vereador;Masculino;16;8;0;8
CAMPO GRANDE DO PIAUÍ;Vereador;Feminino;6;1;0;5
CAMPO LARGO;Vereador;Masculino;121;7;0;114
CAMPO LARGO;Vereador;Feminino;55;4;0;51
CAMPO LARGO DO PIAUÍ;Vereador;Masculino;24;7;0;17
CAMPO LARGO DO PIAUÍ;Vereador;Feminino;13;2;0;11
CAMPO LIMPO DE GOIÁS;Vereador;Masculino;37;8;0;29
CAMPO LIMPO DE GOIÁS;Vereador;Feminino;18;1;0;17
CAMPO LIMPO PAULISTA;Vereador;Masculino;125;9;0;116
CAMPO LIMPO PAULISTA;Vereador;Feminino;54;1;0;53
CAMPO MAGRO;Vereador;Masculino;111;10;0;101
CAMPO MAGRO;Vereador;Feminino;48;1;0;47
CAMPO MAIOR;Vereador;Masculino;62;12;0;50
CAMPO MAIOR;Vereador;Feminino;28;1;0;27
CAMPO MOURÃO;Vereador;Masculino;107;10;0;97
CAMPO MOURÃO;Vereador;Feminino;54;3;0;51
CAMPO NOVO;Vereador;Masculino;32;9;0;23
CAMPO NOVO;Vereador;Feminino;15;0;0;15
CAMPO NOVO DE RONDÔNIA;Vereador;Masculino;31;5;0;26
CAMPO NOVO DE RONDÔNIA;Vereador;Feminino;12;4;0;8
CAMPO NOVO DO PARECIS;Vereador;Masculino;45;9;0;36
CAMPO NOVO DO PARECIS;Vereador;Feminino;20;0;0;20
CAMPO REDONDO;Vereador;Masculino;24;7;0;17
CAMPO REDONDO;Vereador;Feminino;15;2;0;13
CAMPO VERDE;Vereador;Masculino;91;11;0;80
CAMPO VERDE;Vereador;Feminino;43;2;0;41
CAMPOS ALTOS;Vereador;Masculino;36;7;0;29
CAMPOS ALTOS;Vereador;Feminino;19;2;0;17
CAMPOS BELOS;Vereador;Masculino;45;11;0;34
CAMPOS BELOS;Vereador;Feminino;24;0;0;24
CAMPOS BORGES;Vereador;Masculino;20;8;0;12
CAMPOS BORGES;Vereador;Feminino;11;1;0;10
CAMPOS DE JÚLIO;Vereador;Masculino;18;6;0;12
CAMPOS DE JÚLIO;Vereador;Feminino;13;3;0;10
CAMPOS DO JORDÃO;Vereador;Masculino;134;13;0;121
CAMPOS DO JORDÃO;Vereador;Feminino;60;0;0;60
CAMPOS DOS GOYTACAZES;Vereador;Masculino;439;22;0;417
CAMPOS DOS GOYTACAZES;Vereador;Feminino;192;3;0;189
CAMPOS GERAIS;Vereador;Masculino;69;9;0;60
CAMPOS GERAIS;Vereador;Feminino;31;2;0;29
CAMPOS LINDOS;Vereador;Masculino;31;8;0;23
CAMPOS LINDOS;Vereador;Feminino;13;1;0;12
CAMPOS NOVOS;Vereador;Masculino;33;9;0;24
CAMPOS NOVOS;Vereador;Feminino;17;0;0;17
CAMPOS NOVOS PAULISTA;Vereador;Masculino;39;8;0;31
CAMPOS NOVOS PAULISTA;Vereador;Feminino;20;1;0;19
CAMPOS SALES;Vereador;Masculino;29;8;0;21
CAMPOS SALES;Vereador;Feminino;13;3;0;10
CAMPOS VERDES;Vereador;Masculino;32;8;0;24
CAMPOS VERDES;Vereador;Feminino;13;1;0;12
CAMUTANGA;Vereador;Masculino;21;7;0;14
CAMUTANGA;Vereador;Feminino;7;2;0;5
CANA VERDE;Vereador;Masculino;50;9;0;41
CANA VERDE;Vereador;Feminino;25;0;0;25
CANAÃ;Vereador;Masculino;28;8;0;20
CANAÃ;Vereador;Feminino;14;1;0;13
CANAÃ DOS CARAJÁS;Vereador;Masculino;78;11;0;67
